,Euclidean + NCM,NCMML
FOLD 1,0.9175769612711023,0.871896722939424
FOLD 2,0.9157581764122894,0.8344895936570862
FOLD 3,0.9219367588932806,0.7598814229249012
FOLD 4,0.9151873767258383,0.8767258382642998
FOLD 5,0.9173228346456693,0.7726377952755905
FOLD 6,0.9174041297935103,0.8328416912487709
FOLD 7,0.9164208456243854,0.7689282202556539
FOLD 8,0.9164208456243854,0.7531956735496559
FOLD 9,0.9193706981317601,0.8485742379547689
FOLD 10,0.9164208456243854,0.6991150442477876
MEAN,0.9173819472746606,0.8018286240317938
