,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.83640081799591,0.9263803680981595
FOLD 2,0.8169734151329243,0.9038854805725971
FOLD 3,0.8271983640081799,0.9120654396728016
FOLD 4,0.8153061224489796,0.9122448979591836
FOLD 5,0.8224489795918367,0.9091836734693878
FOLD 6,0.8418367346938775,0.9122448979591836
FOLD 7,0.8165137614678899,0.9031600407747197
FOLD 8,0.8034623217922607,0.890020366598778
FOLD 9,0.814663951120163,0.9175152749490835
FOLD 10,0.824847250509165,0.9042769857433809
MEAN,0.8219651718761186,0.9090977425797275
