,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.7539797395079595,0.7655571635311144
FOLD 2,0.7496382054992764,0.7264833574529667
FOLD 3,0.7583212735166426,0.7337192474674384
FOLD 4,0.7568740955137482,0.7250361794500724
FOLD 5,0.7554269175108539,0.7250361794500724
FOLD 6,0.7568740955137482,0.7120115774240231
FOLD 7,0.7539797395079595,0.7293777134587555
FOLD 8,0.7279305354558611,0.7554269175108539
FOLD 9,0.7543352601156069,0.7312138728323699
FOLD 10,0.7543352601156069,0.7182080924855492
MEAN,0.7521695122257263,0.7322070301063215
