,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
appendicitis,0.8616969951474431,0.8648439249720046,0.8647888671145949,0.8575083986562151,0.8836821108622621,0.8711492161254201,0.8868180757745427,0.8742627846211274,0.8774099477416947,0.884789800298619
balance,0.8392870925470157,0.8903250924188096,0.9121765363991964,0.8544069170434112,0.9575073455950888,0.8551145644807561,0.9308437455957141,0.9029333286875444,0.9100504525958679,0.8975974638460477
bupa,0.6070749922207239,0.6463769318535422,0.6344549320609896,0.6402541230162846,0.7078881858728348,0.6260854683124156,0.6457390312208278,0.6083777616429831,0.5868011617052172,0.6087169380769629
cleveland,0.5518832815915441,0.5798835779767519,0.5817000717075068,0.5514819545022535,0.6401228339058097,0.5653446656836028,0.5660586116355257,0.5993586022749013,0.6053260500284066,0.5944489497416321
glass,0.6546725835021457,0.5191705142786673,0.6214237965052768,0.7023177275229723,0.6998072185353986,0.6562196918270431,0.6314219921129353,0.626187311690322,0.6682471100826229,0.6386525626726505
hepatitis,0.8446387227474436,0.9430882479044742,0.8834156001457757,0.8890113512122968,0.9500326923489184,0.947216326880614,0.8902654511544151,0.9014172937166376,0.9055828885030118,0.9374544450875726
ionosphere,0.8486817309148899,0.8929959358791766,0.8632458267018823,0.8550078880199073,0.9404897734626602,0.9129448586526412,0.8860388766242698,0.8949017150818053,0.8942657834873223,0.89742035128151
iris,0.9562962962962964,0.9644444444444444,0.9674074074074074,0.9688888888888888,0.9725925925925925,0.9555555555555556,0.9644444444444444,0.9585185185185184,0.9474074074074076,0.9807407407407408
monk-2,0.9544740847805804,0.8939356762461206,0.933643447516185,0.96167536475927,1.0,0.970425010549835,1.0,0.966525281889552,0.9992294475284164,0.915769353086158
newthyroid,0.9354094332567704,0.9581379199829068,0.9436648683296832,0.9364430318893222,0.9772688424763636,0.9653757812082688,0.9695235297259762,0.9684845894984242,0.9571096629453556,0.9596976657229848
sonar,0.8184056744929207,0.9017032532111866,0.8215941358761011,0.8857002949679279,0.9609908585634293,0.9337548340606598,0.8419095166612223,0.8520530000232449,0.8787655206838461,0.8846307456657087
wine,0.9581786226096796,0.9444635134763656,0.9906403832687332,0.9812807177074336,0.9975000000000002,0.9950037852317728,0.9862767868898236,0.9937653832687332,0.9975154320987656,0.9975115980369604
movement_libras,0.7420555786749379,0.8584014459133652,0.7814621913302477,0.7746794845641725,0.8075210262381789,0.7398717730262246,0.7042221159850609,0.7532516011172181,0.7869282980758754,0.6870706830713484
pima,0.7368342353797379,0.7424767656826414,0.7232341082288383,0.7385708489832111,0.7798041290581632,0.7310469872765448,0.7336521168115239,0.7348067222673013,0.7303246530537131,0.7384313594271518
vehicle,0.7139408993023618,0.7759342896229404,0.7613487318743599,0.7760627793914979,0.8078485904197436,0.6908313059125838,0.6667949884924103,0.6728415590005803,0.7593779829448446,0.7244416653472056
vowel,0.9368125701459036,0.717171717171717,0.8966329966329966,0.9482603815937146,0.9534231200897868,0.932547699214366,0.9132435465768801,0.6901234567901235,0.8662177328843995,0.8498316498316498
wdbc,0.9685611106700348,0.9753955342062824,0.9738357127002246,0.9673869483330664,0.978713186093802,0.9666072227276716,0.9767596744071938,0.9611422755185148,0.9722709134422814,0.9533305175991731
wisconsin,0.9726691439700892,0.9705539978545856,0.9611196565411232,0.9736455481966724,0.9749466243086646,0.9708807883279559,0.9720203212480959,0.9746216875997602,0.966324500094064,0.970717921018628
