,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8789346246973365,0.9418886198547215,0.8861985472154964,0.8934624697336562,0.9418886198547216,0.9297820823244553,0.9152542372881356,0.9176755447941888,0.9322033898305084,0.9200968523002422
FOLD 2,0.8426150121065376,0.9200968523002422,0.8765133171912833,0.8523002421307506,0.9346246973365616,0.9152542372881356,0.9225181598062954,0.9055690072639224,0.9031476997578692,0.910411622276029
FOLD 3,0.8478260869565217,0.9347826086956522,0.8743961352657005,0.8695652173913043,0.9468599033816424,0.929951690821256,0.9420289855072465,0.9178743961352656,0.9251207729468599,0.9468599033816424
FOLD 4,0.8526570048309179,0.9154589371980676,0.8913043478260869,0.8671497584541062,0.9444444444444444,0.9178743961352656,0.927536231884058,0.9033816425120772,0.9251207729468599,0.9371980676328504
FOLD 5,0.8478260869565217,0.9033816425120773,0.8574879227053142,0.8526570048309179,0.927536231884058,0.9227053140096618,0.92512077294686,0.9082125603864736,0.9033816425120773,0.9178743961352656
FOLD 6,0.8333333333333334,0.9130434782608695,0.8768115942028986,0.8454106280193237,0.9347826086956522,0.9082125603864736,0.9033816425120772,0.8937198067632851,0.8961352657004831,0.9202898550724636
FOLD 7,0.8671497584541062,0.9251207729468599,0.8816425120772947,0.8647342995169082,0.9444444444444444,0.9420289855072465,0.9227053140096618,0.9057971014492754,0.927536231884058,0.9420289855072465
FOLD 8,0.8429951690821256,0.9154589371980676,0.9033816425120772,0.8671497584541062,0.9420289855072465,0.9202898550724636,0.932367149758454,0.9082125603864736,0.9178743961352657,0.9227053140096618
FOLD 9,0.8385542168674699,0.9228915662650602,0.8674698795180723,0.8626506024096385,0.9349397590361446,0.910843373493976,0.9084337349397591,0.910843373493976,0.9228915662650602,0.9012048192771084
FOLD 10,0.8481927710843373,0.9228915662650602,0.8867469879518072,0.8602409638554217,0.9397590361445785,0.9180722891566264,0.910843373493976,0.9060240963855422,0.9228915662650602,0.910843373493976
MEAN,0.8500084064369208,0.9215014981496678,0.8801952886466031,0.8635320944796133,0.9391308730729495,0.921501478419556,0.9210189602146525,0.907731008957048,0.9176303304244101,0.9229513189086486
