,Euclidean + NCM,NCMML
FOLD 1,0.7484848484848485,0.9929292929292929
FOLD 2,0.7404040404040404,0.9929292929292929
FOLD 3,0.7454545454545455,0.990909090909091
FOLD 4,0.7434343434343434,0.9878787878787879
FOLD 5,0.7535353535353535,0.9929292929292929
FOLD 6,0.7494949494949495,0.9929292929292929
FOLD 7,0.7444444444444445,0.990909090909091
FOLD 8,0.7404040404040404,0.9888888888888889
FOLD 9,0.7414141414141414,0.9888888888888889
FOLD 10,0.7383838383838384,0.9929292929292929
MEAN,0.7445454545454546,0.9912121212121212
