,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.8626262626262626,0.9696969696969697
FOLD 2,0.8585858585858586,0.9696969696969697
FOLD 3,0.8525252525252526,0.9676767676767677
FOLD 4,0.8626262626262626,0.9676767676767677
FOLD 5,0.8555555555555555,0.9717171717171718
FOLD 6,0.8555555555555555,0.9707070707070707
FOLD 7,0.8535353535353535,0.9646464646464646
FOLD 8,0.8676767676767677,0.9727272727272728
FOLD 9,0.8535353535353535,0.9727272727272728
FOLD 10,0.8646464646464647,0.9676767676767677
MEAN,0.8586868686868687,0.9694949494949494
