,Euclidean + NCM,NCMML
FOLD 1,0.9804804804804805,0.984984984984985
FOLD 2,0.9827456864216054,0.9879969992498124
FOLD 3,0.9819954988747187,0.9857464366091523
FOLD 4,0.9789947486871718,0.9842460615153789
FOLD 5,0.9819954988747187,0.986496624156039
FOLD 6,0.9797449362340586,0.9857464366091523
FOLD 7,0.9819954988747187,0.9834958739684921
FOLD 8,0.9819954988747187,0.9857464366091523
FOLD 9,0.9789947486871718,0.9827456864216054
FOLD 10,0.9789947486871718,0.9872468117029257
MEAN,0.9807937344696533,0.9854452351826696
