,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7171052631578947,0.7907894736842105,0.75,0.7723684210526316,0.7986842105263158,0.7026315789473684,0.6644736842105263,0.6815789473684211,0.7328947368421053,0.7092105263157895
FOLD 2,0.6973684210526315,0.7684210526315789,0.7513157894736842,0.7526315789473684,0.7671052631578947,0.6907894736842105,0.6578947368421053,0.6855263157894737,0.7276315789473684,0.7131578947368421
FOLD 3,0.7148488830486203,0.7660972404730617,0.7700394218134035,0.7766097240473062,0.8134034165571616,0.6977660972404731,0.6688567674113011,0.6741130091984231,0.759526938239159,0.7201051248357424
FOLD 4,0.7069645203679369,0.7989487516425755,0.7608409986859396,0.7752956636005256,0.8094612352168199,0.6859395532194481,0.6675427069645203,0.6649145860709592,0.7424441524310118,0.7358738501971089
FOLD 5,0.6977660972404731,0.7674113009198423,0.7568988173455979,0.7660972404730617,0.7792378449408672,0.6872536136662286,0.6517739816031537,0.6793692509855453,0.7227332457293035,0.7214191852825229
FOLD 6,0.6990801576872536,0.7779237844940867,0.759526938239159,0.7844940867279895,0.8068331143232589,0.6780551905387647,0.6675427069645203,0.6727989487516426,0.7161629434954008,0.7030223390275953
FOLD 7,0.7069645203679369,0.7739816031537451,0.7503285151116952,0.7582128777923784,0.7963206307490145,0.7135348226018396,0.6727989487516426,0.6675427069645203,0.7463863337713534,0.7306176084099869
FOLD 8,0.7060367454068242,0.7860892388451444,0.7677165354330708,0.7703412073490814,0.8083989501312336,0.6902887139107612,0.6522309711286091,0.6666666666666666,0.7493438320209974,0.7230971128608924
FOLD 9,0.709043250327654,0.7981651376146789,0.7667103538663171,0.7889908256880734,0.8034076015727392,0.6920052424639581,0.6671035386631717,0.6749672346002621,0.747051114023591,0.727391874180865
FOLD 10,0.7421465968586387,0.7643979057591623,0.7866492146596858,0.7853403141361257,0.7931937172774869,0.7120418848167539,0.6740837696335078,0.6858638743455497,0.7552356020942408,0.7526178010471204
MEAN,0.7097324455515864,0.7792225489218085,0.7620026584628554,0.7730381939814542,0.7976045984452792,0.6950306171089806,0.6644301812173059,0.6753341540741464,0.7399410477594532,0.7236513316894466
