,Euclidean + NCM,NCMML
FOLD 1,0.5252525252525253,0.6666666666666666
FOLD 2,0.5342312008978676,0.6722783389450057
FOLD 3,0.5465768799102132,0.6588103254769921
FOLD 4,0.5420875420875421,0.6588103254769921
FOLD 5,0.5185185185185185,0.6632996632996633
FOLD 6,0.5207631874298541,0.6498316498316499
FOLD 7,0.5420875420875421,0.67003367003367
FOLD 8,0.5578002244668911,0.675645342312009
FOLD 9,0.5364758698092031,0.6868686868686869
FOLD 10,0.5432098765432098,0.6868686868686869
MEAN,0.5367003367003366,0.6689113355780023
