,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9559748427672956,1.0,0.9937106918238994,0.981132075471698,1.0,0.9937106918238994,0.9748427672955976,0.9937106918238994,1.0,1.0
FOLD 2,0.975,1.0,0.9875,0.9875,1.0,0.99375,0.99375,0.99375,1.0,1.0
FOLD 3,0.96875,1.0,0.99375,0.98125,1.0,0.99375,0.9875,1.0,1.0,1.0
FOLD 4,0.94375,0.99375,0.9875,0.9875,1.0,0.99375,0.9875,0.99375,1.0,0.99375
FOLD 5,0.9625,1.0,0.99375,0.98125,0.99375,0.99375,0.99375,0.99375,1.0,1.0
FOLD 6,0.95,0.99375,0.9875,0.975,0.99375,0.99375,0.9875,0.99375,1.0,0.99375
FOLD 7,0.95,1.0,0.9875,0.98125,0.9875,0.99375,0.9875,0.9875,1.0,1.0
FOLD 8,0.95625,1.0,0.99375,0.98125,1.0,1.0,0.99375,1.0,1.0,1.0
FOLD 9,0.968944099378882,0.9937888198757764,0.9937888198757764,0.9813664596273292,1.0,1.0,0.9813664596273292,0.9937888198757764,1.0,0.9937888198757764
FOLD 10,0.9506172839506172,0.9938271604938271,0.9876543209876544,0.9753086419753086,1.0,0.9938271604938272,0.9753086419753086,0.9876543209876544,0.9938271604938271,0.9938271604938272
MEAN,0.9581786226096796,0.9975115980369603,0.9906403832687332,0.9812807177074335,0.9974999999999999,0.9950037852317728,0.9862767868898235,0.9937653832687332,0.9993827160493828,0.9975115980369603
