,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8829787234042553,0.8723404255319149,0.8723404255319149,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.9042553191489362,0.925531914893617,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9042553191489362,0.851063829787234,0.8723404255319149,0.8723404255319149,0.8936170212765957,1.0
FOLD 2,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8421052631578947,0.8736842105263158,0.8736842105263158,0.8842105263157894,0.8842105263157894,0.8421052631578947,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8842105263157894,0.8947368421052632,0.8526315789473684,0.8421052631578947,0.8315789473684211,0.8736842105263158,0.8736842105263158,0.8315789473684211,0.8421052631578947,0.8315789473684211,0.8526315789473684,1.0
FOLD 3,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8736842105263158,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8736842105263158,0.8842105263157894,0.8842105263157894,0.8315789473684211,0.8421052631578947,0.8421052631578947,0.8736842105263158,0.8631578947368421,0.8315789473684211,0.8421052631578947,0.8315789473684211,0.8631578947368421,1.0
FOLD 4,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8421052631578947,0.8526315789473684,0.8315789473684211,0.8421052631578947,0.8526315789473684,0.8526315789473684,0.8421052631578947,0.8526315789473684,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8842105263157894,0.9052631578947369,0.8526315789473684,0.8421052631578947,0.8315789473684211,0.8631578947368421,0.8736842105263158,0.8315789473684211,0.8421052631578947,0.8210526315789474,0.8421052631578947,1.0
FOLD 5,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8421052631578947,0.8526315789473684,0.8631578947368421,0.8421052631578947,0.8526315789473684,0.8526315789473684,0.8631578947368421,0.8631578947368421,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8736842105263158,0.8842105263157894,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8736842105263158,0.8842105263157894,0.8842105263157894,0.8526315789473684,0.8631578947368421,0.8631578947368421,1.0
FOLD 6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8229166666666666,0.8333333333333334,0.8541666666666666,0.84375,0.8541666666666666,0.84375,0.875,0.84375,0.84375,0.84375,0.84375,0.8645833333333334,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8541666666666666,0.9166666666666666,0.8333333333333334,0.8125,0.8333333333333334,0.84375,1.0
FOLD 7,0.8125,0.8125,0.8020833333333334,0.7916666666666666,0.8125,0.8229166666666666,0.8333333333333334,0.8229166666666666,0.8125,0.8645833333333334,0.8645833333333334,0.84375,0.84375,0.8333333333333334,0.875,0.8854166666666666,0.84375,0.8020833333333334,0.8125,0.8333333333333334,0.8645833333333334,0.84375,0.8333333333333334,0.84375,0.8541666666666666,1.0
FOLD 8,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.8125,0.8229166666666666,0.8333333333333334,0.8125,0.8333333333333334,0.8333333333333334,0.8541666666666666,0.8541666666666666,0.8333333333333334,0.8333333333333334,0.8229166666666666,0.8541666666666666,0.875,0.8541666666666666,0.8333333333333334,0.84375,0.8333333333333334,0.90625,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.84375,1.0
FOLD 9,0.84375,0.84375,0.8333333333333334,0.8333333333333334,0.84375,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.8333333333333334,0.8645833333333334,0.8333333333333334,0.84375,0.84375,0.8541666666666666,0.875,0.875,0.84375,0.8333333333333334,0.8333333333333334,0.84375,0.84375,0.8020833333333334,0.84375,0.8229166666666666,0.8333333333333334,1.0
FOLD 10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.84375,0.8541666666666666,0.8229166666666666,0.8333333333333334,0.8645833333333334,0.8541666666666666,0.84375,0.84375,0.8333333333333334,0.8645833333333334,0.8854166666666666,0.84375,0.8333333333333334,0.84375,0.8541666666666666,0.875,0.8229166666666666,0.8333333333333334,0.8125,0.8333333333333334,1.0
MEAN,0.8428700074654722,0.8428700074654722,0.8407866741321388,0.8355564109742442,0.8428700074654722,0.8438897443075775,0.8481224337439344,0.8491748320268757,0.850227463605823,0.8679579600597238,0.8564557670772676,0.8543943635684957,0.8543943635684957,0.8523110302351624,0.8763904441955954,0.888978630085853,0.8491090425531915,0.8397230776409106,0.840742814483016,0.8575300951847705,0.8805242161254199,0.8355011198208286,0.8397121127286301,0.8355125513251214,0.8523002986188877,1.0
