,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.6868327402135231,0.8398576512455516
FOLD 2,0.7064056939501779,0.8274021352313167
FOLD 3,0.7099644128113879,0.8185053380782918
FOLD 4,0.7064056939501779,0.8185053380782918
FOLD 5,0.6903914590747331,0.8202846975088968
FOLD 6,0.708185053380783,0.8362989323843416
FOLD 7,0.693950177935943,0.8398576512455516
FOLD 8,0.7046263345195729,0.8327402135231317
FOLD 9,0.6985815602836879,0.8262411347517731
FOLD 10,0.6991150442477876,0.8212389380530973
MEAN,0.7004458170367774,0.8280932030100244
