,Euclidean + NCM,NCMML
FOLD 1,0.5865687303252886,0.5687303252885625
FOLD 2,0.5708289611752361,0.5267576075550892
FOLD 3,0.5813221406086044,0.5666316894018888
FOLD 4,0.5865687303252886,0.5813221406086044
FOLD 5,0.5750262329485835,0.559286463798531
FOLD 6,0.5884816753926702,0.5738219895287958
FOLD 7,0.5486910994764398,0.4942408376963351
FOLD 8,0.5790575916230366,0.5591623036649215
FOLD 9,0.5801047120418849,0.5727748691099477
FOLD 10,0.5727748691099477,0.5685863874345549
MEAN,0.576942474302698,0.557131461408723
