,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.635483870967742,0.6387096774193548
FOLD 2,0.6290322580645161,0.6225806451612903
FOLD 3,0.6387096774193548,0.603225806451613
FOLD 4,0.635483870967742,0.6419354838709678
FOLD 5,0.6387096774193548,0.5903225806451613
FOLD 6,0.6205787781350482,0.639871382636656
FOLD 7,0.6430868167202572,0.6109324758842444
FOLD 8,0.6141479099678456,0.6334405144694534
FOLD 9,0.617363344051447,0.6141479099678456
FOLD 10,0.5980707395498392,0.6527331189710611
MEAN,0.6270666943263147,0.6247899595477647
