,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.680628272251309,0.680628272251309,0.680628272251309,0.680628272251309,0.680628272251309,0.6910994764397905,0.6596858638743456,0.6910994764397905,0.6596858638743456,0.675392670157068,0.6544502617801047,0.7068062827225131,0.7015706806282722,0.7068062827225131,0.675392670157068,0.675392670157068,0.7015706806282722,0.7015706806282722,0.7068062827225131,0.675392670157068,0.7486910994764397,0.6073298429319371,0.6701570680628273,0.7068062827225131,0.743455497382199,0.9738219895287958
FOLD 2,0.675392670157068,0.675392670157068,0.680628272251309,0.680628272251309,0.675392670157068,0.6963350785340314,0.6649214659685864,0.680628272251309,0.675392670157068,0.643979057591623,0.6701570680628273,0.680628272251309,0.680628272251309,0.6858638743455497,0.6701570680628273,0.7015706806282722,0.6910994764397905,0.7015706806282722,0.7015706806282722,0.675392670157068,0.7382198952879581,0.680628272251309,0.7329842931937173,0.7382198952879581,0.7643979057591623,0.9738219895287958
FOLD 3,0.6649214659685864,0.6649214659685864,0.6596858638743456,0.6596858638743456,0.6649214659685864,0.6963350785340314,0.6020942408376964,0.6596858638743456,0.6282722513089005,0.612565445026178,0.6544502617801047,0.6701570680628273,0.6701570680628273,0.6701570680628273,0.675392670157068,0.6910994764397905,0.6858638743455497,0.6858638743455497,0.6910994764397905,0.6701570680628273,0.7591623036649214,0.6858638743455497,0.7068062827225131,0.7068062827225131,0.7329842931937173,0.9947643979057592
FOLD 4,0.6614583333333334,0.6614583333333334,0.6666666666666666,0.6666666666666666,0.6614583333333334,0.6614583333333334,0.6666666666666666,0.6614583333333334,0.625,0.6197916666666666,0.65625,0.703125,0.6979166666666666,0.6822916666666666,0.6614583333333334,0.671875,0.703125,0.6979166666666666,0.7083333333333334,0.6354166666666666,0.7083333333333334,0.6510416666666666,0.6875,0.7239583333333334,0.7239583333333334,0.9947916666666666
FOLD 5,0.6927083333333334,0.6927083333333334,0.6979166666666666,0.6979166666666666,0.6927083333333334,0.703125,0.6510416666666666,0.703125,0.65625,0.640625,0.6979166666666666,0.6979166666666666,0.6927083333333334,0.6927083333333334,0.65625,0.671875,0.7083333333333334,0.6979166666666666,0.7083333333333334,0.671875,0.765625,0.71875,0.7552083333333334,0.7447916666666666,0.734375,0.9895833333333334
FOLD 6,0.6614583333333334,0.6614583333333334,0.6666666666666666,0.6666666666666666,0.6614583333333334,0.6770833333333334,0.625,0.6458333333333334,0.6510416666666666,0.6614583333333334,0.671875,0.6770833333333334,0.671875,0.671875,0.703125,0.6979166666666666,0.6875,0.6770833333333334,0.6979166666666666,0.6770833333333334,0.703125,0.6875,0.71875,0.734375,0.7135416666666666,1.0
FOLD 7,0.6839378238341969,0.6839378238341969,0.6994818652849741,0.694300518134715,0.6839378238341969,0.6994818652849741,0.616580310880829,0.6735751295336787,0.6062176165803109,0.6632124352331606,0.6632124352331606,0.6839378238341969,0.6787564766839378,0.6839378238341969,0.6994818652849741,0.689119170984456,0.7098445595854922,0.7150259067357513,0.7150259067357513,0.6839378238341969,0.7409326424870466,0.7253886010362695,0.7512953367875648,0.7409326424870466,0.7357512953367875,1.0
FOLD 8,0.6804123711340206,0.6804123711340206,0.6907216494845361,0.6907216494845361,0.6804123711340206,0.7010309278350515,0.6185567010309279,0.6752577319587629,0.6288659793814433,0.6391752577319587,0.634020618556701,0.6958762886597938,0.7061855670103093,0.7164948453608248,0.6443298969072165,0.6649484536082474,0.6804123711340206,0.6804123711340206,0.6804123711340206,0.6649484536082474,0.7371134020618557,0.6855670103092784,0.7319587628865979,0.7422680412371134,0.7371134020618557,1.0
FOLD 9,0.6855670103092784,0.6855670103092784,0.6804123711340206,0.6804123711340206,0.6855670103092784,0.7061855670103093,0.6391752577319587,0.6494845360824743,0.6804123711340206,0.6701030927835051,0.6855670103092784,0.6649484536082474,0.6597938144329897,0.6649484536082474,0.6855670103092784,0.6855670103092784,0.7010309278350515,0.7061855670103093,0.711340206185567,0.6804123711340206,0.7319587628865979,0.6649484536082474,0.7164948453608248,0.7577319587628866,0.7164948453608248,0.9742268041237113
FOLD 10,0.673469387755102,0.673469387755102,0.6785714285714286,0.6836734693877551,0.673469387755102,0.6989795918367347,0.6326530612244898,0.6836734693877551,0.6479591836734694,0.6479591836734694,0.673469387755102,0.7040816326530612,0.6938775510204082,0.6989795918367347,0.6530612244897959,0.6989795918367347,0.7091836734693877,0.6938775510204082,0.7040816326530612,0.6683673469387755,0.7091836734693877,0.6836734693877551,0.7295918367346939,0.6938775510204082,0.7704081632653061,0.9897959183673469
MEAN,0.6759954001409562,0.6759954001409562,0.6801379722851923,0.680130041651799,0.6759954001409562,0.693111425214159,0.6376375234882167,0.6723821146194784,0.6459097602776225,0.6474262142196964,0.6661368710143946,0.6884560821791949,0.6853469430090053,0.6874062939770894,0.6724215738701561,0.6848343720630514,0.6977963896770898,0.6957423298169251,0.702491988983231,0.6702983403892204,0.7342345112667541,0.6790691190537013,0.7200746759082073,0.728976765424044,0.7372480402359852,0.9890806099454409
