,Euclidean + NCM,NCMML
FOLD 1,0.518324607329843,0.6178010471204188
FOLD 2,0.5130890052356021,0.612565445026178
FOLD 3,0.5235602094240838,0.6492146596858639
FOLD 4,0.5104166666666666,0.5885416666666666
FOLD 5,0.5572916666666666,0.6979166666666666
FOLD 6,0.53125,0.6197916666666666
FOLD 7,0.5129533678756477,0.6476683937823834
FOLD 8,0.520618556701031,0.5773195876288659
FOLD 9,0.5360824742268041,0.6185567010309279
FOLD 10,0.49489795918367346,0.5918367346938775
MEAN,0.5218484513310019,0.6221212568968515
