,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8444444444444444,0.8761904761904762,0.8634920634920635,0.873015873015873,0.9523809523809524,0.923809523809524,0.8698412698412699,0.873015873015873,0.9111111111111111,0.8666666666666667
FOLD 2,0.8539682539682539,0.8825396825396825,0.8698412698412699,0.873015873015873,0.9492063492063492,0.9206349206349206,0.9111111111111112,0.8761904761904762,0.8888888888888888,0.8634920634920635
FOLD 3,0.8539682539682539,0.8761904761904762,0.8603174603174604,0.8698412698412699,0.9682539682539684,0.9174603174603174,0.8698412698412699,0.8825396825396825,0.9174603174603174,0.907936507936508
FOLD 4,0.8666666666666667,0.8857142857142857,0.8888888888888888,0.8793650793650793,0.9682539682539684,0.9492063492063492,0.9111111111111112,0.8984126984126984,0.8920634920634921,0.8952380952380953
FOLD 5,0.8634920634920635,0.8793650793650793,0.8761904761904762,0.8634920634920635,0.9428571428571428,0.9174603174603174,0.8825396825396825,0.8825396825396825,0.9015873015873016,0.907936507936508
FOLD 6,0.8639240506329114,0.8892405063291139,0.8670886075949367,0.8860759493670886,0.9430379746835444,0.9272151898734176,0.8924050632911392,0.8987341772151899,0.9113924050632911,0.8924050632911392
FOLD 7,0.8548895899053628,0.8832807570977917,0.8895899053627759,0.8832807570977917,0.9589905362776026,0.9369085173501576,0.8958990536277602,0.8990536277602523,0.9148264984227129,0.8895899053627759
FOLD 8,0.8580441640378549,0.8927444794952681,0.8675078864353313,0.8738170347003155,0.946372239747634,0.9274447949526814,0.9022082018927444,0.8990536277602523,0.9022082018927445,0.9085173501577288
FOLD 9,0.8611987381703471,0.889589905362776,0.8895899053627759,0.8769716088328076,0.946372239747634,0.9369085173501576,0.8832807570977917,0.8990536277602523,0.9022082018927445,0.8990536277602523
FOLD 10,0.8485804416403786,0.8801261829652997,0.8990536277602523,0.8738170347003155,0.9589905362776026,0.9242902208201892,0.8801261829652997,0.8958990536277602,0.9116719242902208,0.8769716088328076
MEAN,0.8569176666926538,0.883498183125025,0.8771560091246231,0.8752692543428477,0.9534715907686397,0.9281338668918033,0.8898363703319181,0.890449252682212,0.9053418342672825,0.8907807396674545
