,Euclidean + NCM,NCMML
FOLD 1,0.7396825396825397,0.926984126984127
FOLD 2,0.7428571428571429,0.9206349206349206
FOLD 3,0.7428571428571429,0.9396825396825397
FOLD 4,0.7396825396825397,0.9238095238095239
FOLD 5,0.746031746031746,0.9333333333333333
FOLD 6,0.7468354430379747,0.9367088607594937
FOLD 7,0.7476340694006309,0.9305993690851735
FOLD 8,0.7413249211356467,0.9337539432176656
FOLD 9,0.7539432176656151,0.9369085173501577
FOLD 10,0.7444794952681388,0.9305993690851735
MEAN,0.7445328257619116,0.9313014503942109
