,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.8666666666666667,0.9629629629629629,0.9629629629629629,0.9777777777777777,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9629629629629629,0.9555555555555556,0.9555555555555556,0.9703703703703703,0.9555555555555556,0.9629629629629629,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9703703703703703,1.0
FOLD 2,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.8444444444444444,0.9407407407407408,0.9481481481481482,0.9555555555555556,0.9333333333333333,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9407407407407408,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9629629629629629,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,1.0
FOLD 3,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.837037037037037,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9407407407407408,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9555555555555556,0.9407407407407408,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.9629629629629629,0.9777777777777777,0.9851851851851852,0.9777777777777777,0.9777777777777777,0.9851851851851852,1.0
FOLD 4,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.8740740740740741,0.9407407407407408,0.9407407407407408,0.9481481481481482,0.9259259259259259,0.9407407407407408,0.9481481481481482,0.9481481481481482,0.9259259259259259,0.9333333333333333,0.9555555555555556,0.9407407407407408,0.9481481481481482,0.9407407407407408,0.9629629629629629,0.9481481481481482,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0
FOLD 5,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.8740740740740741,0.9333333333333333,0.9481481481481482,0.9481481481481482,0.9333333333333333,0.9481481481481482,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9481481481481482,0.9629629629629629,0.9481481481481482,0.9555555555555556,0.9481481481481482,0.9555555555555556,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0
FOLD 6,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9555555555555556,0.8740740740740741,0.9407407407407408,0.9481481481481482,0.9629629629629629,0.9111111111111111,0.9481481481481482,0.9407407407407408,0.9333333333333333,0.9481481481481482,0.9407407407407408,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9555555555555556,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9703703703703703,1.0
FOLD 7,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.837037037037037,0.9259259259259259,0.9407407407407408,0.9481481481481482,0.9407407407407408,0.9407407407407408,0.9481481481481482,0.9481481481481482,0.9407407407407408,0.9407407407407408,0.9481481481481482,0.9407407407407408,0.9481481481481482,0.9407407407407408,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0
FOLD 8,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.8444444444444444,0.9259259259259259,0.9333333333333333,0.9481481481481482,0.9481481481481482,0.9333333333333333,0.9481481481481482,0.9555555555555556,0.9407407407407408,0.9407407407407408,0.9629629629629629,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9555555555555556,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0
FOLD 9,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9481481481481482,0.9481481481481482,0.8592592592592593,0.9407407407407408,0.9481481481481482,0.9629629629629629,0.9333333333333333,0.9407407407407408,0.9481481481481482,0.9555555555555556,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9407407407407408,0.9481481481481482,0.9333333333333333,0.9407407407407408,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9555555555555556,1.0
FOLD 10,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.8444444444444444,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.9407407407407408,0.9555555555555556,0.9629629629629629,0.9555555555555556,0.9481481481481482,0.9703703703703703,0.9629629629629629,0.9481481481481482,0.9555555555555556,0.9481481481481482,0.9629629629629629,0.9555555555555556,0.9629629629629629,0.9555555555555556,0.9629629629629629,1.0
MEAN,0.9533333333333334,0.9533333333333334,0.9540740740740741,0.9548148148148149,0.9533333333333334,0.9518518518518517,0.8555555555555555,0.942962962962963,0.9488888888888891,0.9562962962962963,0.9362962962962964,0.9459259259259258,0.9503703703703703,0.951851851851852,0.9451851851851851,0.9466666666666667,0.9592592592592594,0.9503703703703703,0.9555555555555555,0.9474074074074075,0.9592592592592594,0.9651851851851851,0.9681481481481482,0.965925925925926,0.9681481481481482,1.0
