,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.7564252336448598,0.7873831775700935
FOLD 2,0.7692757009345794,0.790303738317757
FOLD 3,0.7482476635514018,0.7838785046728972
FOLD 4,0.7517523364485982,0.7716121495327103
FOLD 5,0.7670753064798599,0.7769994162288383
FOLD 6,0.7629889083479277,0.7793345008756567
FOLD 7,0.762405137186223,0.7682428488032691
FOLD 8,0.7682428488032691,0.7915936952714536
FOLD 9,0.7589025102159953,0.7904261529480444
FOLD 10,0.7555425904317387,0.780630105017503
MEAN,0.7600858236044453,0.7820404289238223
