,Euclidean + NCM,NCMML
FOLD 1,0.8092783505154639,0.7860824742268041
FOLD 2,0.8170103092783505,0.8041237113402062
FOLD 3,0.8118556701030928,0.7963917525773195
FOLD 4,0.8092783505154639,0.7835051546391752
FOLD 5,0.8123393316195373,0.7917737789203085
FOLD 6,0.8046272493573264,0.8071979434447301
FOLD 7,0.8097686375321337,0.794344473007712
FOLD 8,0.7994858611825193,0.7994858611825193
FOLD 9,0.8051282051282052,0.8051282051282052
FOLD 10,0.8,0.782051282051282
MEAN,0.8078771965232093,0.7950084636518261
