,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7202572347266881,0.8810289389067524,0.7588424437299035,0.7556270096463023,0.7813504823151125,0.7234726688102894,0.6591639871382636,0.7459807073954984,0.7652733118971061,0.639871382636656
FOLD 2,0.7301587301587301,0.8539682539682539,0.7873015873015873,0.7682539682539683,0.8063492063492064,0.7269841269841271,0.6825396825396826,0.7492063492063492,0.7492063492063492,0.6634920634920635
FOLD 3,0.7269841269841271,0.8507936507936508,0.7777777777777778,0.7523809523809524,0.7873015873015873,0.7238095238095238,0.7079365079365079,0.7269841269841271,0.7682539682539683,0.653968253968254
FOLD 4,0.7492163009404389,0.8557993730407524,0.8119122257053292,0.7523510971786834,0.8244514106583072,0.7335423197492164,0.6865203761755486,0.7648902821316614,0.7774294670846394,0.6739811912225705
FOLD 5,0.7484848484848485,0.8636363636363636,0.7787878787878788,0.7818181818181819,0.796969696969697,0.7424242424242424,0.7212121212121212,0.7484848484848485,0.7696969696969697,0.7060606060606059
FOLD 6,0.7393939393939394,0.8606060606060606,0.7787878787878788,0.7757575757575758,0.8090909090909091,0.7363636363636363,0.7121212121212122,0.7818181818181819,0.7727272727272727,0.7242424242424242
FOLD 7,0.7575757575757576,0.8606060606060606,0.7787878787878788,0.7848484848484848,0.8212121212121212,0.7606060606060606,0.7303030303030303,0.7818181818181819,0.796969696969697,0.7121212121212122
FOLD 8,0.7545454545454545,0.8606060606060606,0.7818181818181819,0.796969696969697,0.8303030303030303,0.7424242424242424,0.7121212121212122,0.7424242424242424,0.7575757575757576,0.6909090909090909
FOLD 9,0.7454545454545455,0.8454545454545455,0.7727272727272727,0.7818181818181819,0.8,0.7575757575757576,0.703030303030303,0.7454545454545455,0.7909090909090909,0.7060606060606059
FOLD 10,0.7484848484848485,0.8515151515151516,0.7878787878787878,0.796969696969697,0.8181818181818182,0.7515151515151515,0.7272727272727273,0.7454545454545455,0.7848484848484848,0.7
MEAN,0.7420555786749379,0.8584014459133652,0.7814621913302476,0.7746794845641725,0.8075210262381788,0.7398717730262249,0.704222115985061,0.7532516011172181,0.7732890369169336,0.6870706830713483
