,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.7781350482315113,0.7781350482315113,0.7620578778135049,0.7652733118971061,0.7781350482315113,0.7684887459807074,0.3279742765273312,0.4983922829581994,0.4887459807073955,0.7234726688102894,0.7459807073954984,0.4630225080385852,0.4630225080385852,0.45980707395498394,0.729903536977492,0.7331189710610932,0.8488745980707395,0.8006430868167203,0.8167202572347267,0.8006430868167203,0.8263665594855305,0.8070739549839229,0.8810289389067524,0.8745980707395499,0.9292604501607717,1.0
FOLD 2,0.7746031746031746,0.7746031746031746,0.7587301587301587,0.7587301587301587,0.7746031746031746,0.7587301587301587,0.35873015873015873,0.46984126984126984,0.47619047619047616,0.7238095238095238,0.7333333333333333,0.44761904761904764,0.4444444444444444,0.4380952380952381,0.692063492063492,0.7111111111111111,0.8476190476190476,0.7968253968253968,0.8063492063492064,0.8095238095238095,0.8222222222222222,0.7555555555555555,0.8571428571428571,0.8825396825396825,0.9047619047619048,1.0
FOLD 3,0.7746031746031746,0.7746031746031746,0.765079365079365,0.7587301587301587,0.7746031746031746,0.7587301587301587,0.34285714285714286,0.4888888888888889,0.4984126984126984,0.7111111111111111,0.7365079365079366,0.4603174603174603,0.45396825396825397,0.45396825396825397,0.7015873015873015,0.707936507936508,0.8444444444444444,0.7936507936507936,0.8095238095238095,0.7904761904761904,0.8222222222222222,0.7587301587301587,0.8666666666666667,0.8857142857142857,0.926984126984127,1.0
FOLD 4,0.8056426332288401,0.8056426332288401,0.7962382445141066,0.7836990595611285,0.8056426332288401,0.774294670846395,0.31974921630094044,0.5297805642633229,0.5266457680250783,0.7460815047021944,0.7648902821316614,0.4890282131661442,0.49843260188087773,0.5015673981191222,0.7178683385579937,0.7366771159874608,0.8652037617554859,0.8119122257053292,0.8307210031347962,0.8213166144200627,0.8589341692789969,0.8056426332288401,0.8808777429467085,0.890282131661442,0.9247648902821317,1.0
FOLD 5,0.806060606060606,0.806060606060606,0.796969696969697,0.7878787878787878,0.806060606060606,0.803030303030303,0.30606060606060603,0.509090909090909,0.5121212121212121,0.7363636363636363,0.7545454545454545,0.4909090909090909,0.48484848484848486,0.48484848484848486,0.7242424242424242,0.7333333333333333,0.8727272727272727,0.8212121212121212,0.8303030303030303,0.8181818181818182,0.8666666666666667,0.8424242424242424,0.906060606060606,0.9181818181818182,0.9424242424242424,1.0
FOLD 6,0.8,0.8,0.793939393939394,0.7909090909090909,0.8,0.793939393939394,0.34545454545454546,0.5,0.5,0.7727272727272727,0.7727272727272727,0.4727272727272727,0.4696969696969697,0.4727272727272727,0.7545454545454545,0.7666666666666667,0.8575757575757575,0.8212121212121212,0.8242424242424242,0.8121212121212121,0.8575757575757575,0.8242424242424242,0.8727272727272727,0.9030303030303031,0.9212121212121213,1.0
FOLD 7,0.8181818181818182,0.8181818181818182,0.796969696969697,0.7909090909090909,0.8181818181818182,0.8,0.3696969696969697,0.49696969696969695,0.5060606060606061,0.7787878787878788,0.7818181818181819,0.4818181818181818,0.4727272727272727,0.4727272727272727,0.7636363636363637,0.7757575757575758,0.8666666666666667,0.8181818181818182,0.8333333333333334,0.8363636363636363,0.8515151515151516,0.7666666666666667,0.8878787878787879,0.8818181818181818,0.9424242424242424,1.0
FOLD 8,0.8151515151515152,0.8151515151515152,0.806060606060606,0.8,0.8151515151515152,0.7727272727272727,0.29393939393939394,0.47878787878787876,0.47575757575757577,0.7484848484848485,0.7606060606060606,0.4484848484848485,0.45151515151515154,0.4575757575757576,0.7090909090909091,0.7393939393939394,0.8606060606060606,0.8272727272727273,0.8484848484848485,0.8303030303030303,0.8515151515151516,0.8090909090909091,0.8787878787878788,0.9121212121212121,0.9090909090909091,1.0
FOLD 9,0.793939393939394,0.793939393939394,0.793939393939394,0.7787878787878788,0.793939393939394,0.7636363636363637,0.2727272727272727,0.47878787878787876,0.4818181818181818,0.7303030303030303,0.7484848484848485,0.44545454545454544,0.46060606060606063,0.46060606060606063,0.693939393939394,0.7393939393939394,0.8636363636363636,0.8151515151515152,0.8333333333333334,0.796969696969697,0.8454545454545455,0.7909090909090909,0.8545454545454545,0.8727272727272727,0.9090909090909091,1.0
FOLD 10,0.806060606060606,0.806060606060606,0.796969696969697,0.7909090909090909,0.806060606060606,0.7818181818181819,0.38484848484848483,0.503030303030303,0.5151515151515151,0.7484848484848485,0.7454545454545455,0.48484848484848486,0.48484848484848486,0.48787878787878786,0.7090909090909091,0.7333333333333333,0.8636363636363636,0.8121212121212121,0.8393939393939394,0.8090909090909091,0.8484848484848485,0.7848484848484848,0.8909090909090909,0.9030303030303031,0.9363636363636364,1.0
MEAN,0.797237797006064,0.797237797006064,0.786695413098562,0.7805826628312491,0.797237797006064,0.7775395249438934,0.3322038067142846,0.49535696726183476,0.4980904014244739,0.7419626323584634,0.7544348623004793,0.4684229653383662,0.4684110232574586,0.46898016005012344,0.7195968123731734,0.7376722493974961,0.8590990336738203,0.8118183018149756,0.8272405185333447,0.8124990004267085,0.8450957294421093,0.7945184120680295,0.8776625296572076,0.892404326156405,0.9246377432794995,1.0
