,Euclidean + NCM,NCMML
FOLD 1,0.6430868167202572,0.819935691318328
FOLD 2,0.653968253968254,0.8317460317460318
FOLD 3,0.6253968253968254,0.8158730158730159
FOLD 4,0.6206896551724138,0.8213166144200627
FOLD 5,0.6303030303030303,0.8121212121212121
FOLD 6,0.6454545454545455,0.803030303030303
FOLD 7,0.6545454545454545,0.8090909090909091
FOLD 8,0.6272727272727273,0.8272727272727273
FOLD 9,0.5969696969696969,0.8090909090909091
FOLD 10,0.6606060606060606,0.8272727272727273
MEAN,0.6358293066409265,0.8176750141236229
