,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.7845659163987139,0.8810289389067524
FOLD 2,0.7777777777777778,0.9047619047619048
FOLD 3,0.746031746031746,0.873015873015873
FOLD 4,0.799373040752351,0.890282131661442
FOLD 5,0.7787878787878788,0.9
FOLD 6,0.7878787878787878,0.8727272727272727
FOLD 7,0.7757575757575758,0.8515151515151516
FOLD 8,0.7666666666666667,0.8636363636363636
FOLD 9,0.7606060606060606,0.8909090909090909
FOLD 10,0.8,0.8757575757575757
MEAN,0.7777445450657557,0.8803634302891427
