,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.974180734856008,0.974180734856008,0.9771598808341608,0.9751737835153923,0.974180734856008,0.9672293942403177,0.9185700099304865,0.9205561072492552,0.9225422045680238,0.9433962264150944,0.9344587884806356,0.9324726911618669,0.9314796425024826,0.9324726911618669,0.9592850049652433,0.9572989076464746,0.9761668321747765,0.9791459781529295,0.9841112214498511,0.9791459781529295,0.9860973187686196,0.9910625620655412,1.0,1.0,1.0,1.0
FOLD 2,0.9752229930624381,0.9752229930624381,0.9752229930624381,0.9722497522299306,0.9752229930624381,0.9663032705649157,0.910802775024777,0.9137760158572844,0.9147670961347869,0.9385530227948464,0.933597621407334,0.9365708622398414,0.9375619425173439,0.9375619425173439,0.9514370664023786,0.9524281466798811,0.9801783944499505,0.9762140733399405,0.979187314172448,0.979187314172448,0.9861248761149654,0.9871159563924677,1.0,0.9990089197224975,1.0,1.0
FOLD 3,0.9802371541501976,0.9802371541501976,0.9812252964426877,0.9812252964426877,0.9802371541501976,0.9693675889328063,0.9268774703557312,0.9288537549407114,0.9258893280632411,0.9456521739130435,0.941699604743083,0.9446640316205533,0.9446640316205533,0.9456521739130435,0.958498023715415,0.9525691699604744,0.983201581027668,0.9851778656126482,0.9861660079051383,0.9841897233201581,0.9920948616600791,0.9950592885375494,1.0,1.0,1.0,1.0
FOLD 4,0.9773175542406312,0.9773175542406312,0.9763313609467456,0.9783037475345168,0.9773175542406312,0.9644970414201184,0.9220907297830375,0.9171597633136095,0.9171597633136095,0.9437869822485208,0.9418145956607495,0.9339250493096647,0.9349112426035503,0.9358974358974359,0.9556213017751479,0.9536489151873767,0.97534516765286,0.9773175542406312,0.9832347140039448,0.9783037475345168,0.9822485207100592,0.9930966469428008,1.0,0.9990138067061144,1.0,1.0
FOLD 5,0.9744094488188977,0.9744094488188977,0.9753937007874016,0.9734251968503937,0.9744094488188977,0.9645669291338582,0.922244094488189,0.9202755905511811,0.9212598425196851,0.9429133858267716,0.9409448818897638,0.9419291338582677,0.9419291338582677,0.9419291338582677,0.9566929133858267,0.9547244094488189,0.9734251968503937,0.9783464566929134,0.9793307086614174,0.9783464566929134,0.9862204724409449,0.9891732283464567,1.0,1.0,0.9990157480314961,1.0
FOLD 6,0.976401179941003,0.976401179941003,0.976401179941003,0.976401179941003,0.976401179941003,0.967551622418879,0.9144542772861357,0.9164208456243854,0.9193706981317601,0.9459193706981318,0.9351032448377581,0.9351032448377581,0.9360865290068829,0.9360865290068829,0.9557522123893806,0.9557522123893806,0.976401179941003,0.9823008849557522,0.984267453294002,0.9793510324483776,0.984267453294002,0.9950835791543756,0.9990167158308751,1.0,1.0,1.0
FOLD 7,0.9714847590953786,0.9714847590953786,0.9714847590953786,0.9705014749262537,0.9714847590953786,0.9655850540806293,0.9144542772861357,0.9144542772861357,0.9174041297935103,0.9410029498525073,0.9390363815142576,0.9360865290068829,0.9400196656833825,0.9400196656833825,0.9577187807276303,0.951819075712881,0.9724680432645034,0.9754178957718781,0.9773844641101278,0.9744346116027532,0.9813176007866273,0.9862340216322517,1.0,0.9990167158308751,1.0,1.0
FOLD 8,0.976401179941003,0.976401179941003,0.9773844641101278,0.976401179941003,0.976401179941003,0.9665683382497542,0.9164208456243854,0.9193706981317601,0.9213372664700098,0.943952802359882,0.9370698131760079,0.9380530973451328,0.9400196656833825,0.9419862340216323,0.9547689282202556,0.9587020648967551,0.9744346116027532,0.9803343166175025,0.9793510324483776,0.9793510324483776,0.9882005899705014,0.9872173058013766,1.0,1.0,1.0,1.0
FOLD 9,0.9724680432645034,0.9724680432645034,0.9724680432645034,0.9724680432645034,0.9724680432645034,0.9655850540806293,0.9213372664700098,0.9213372664700098,0.9213372664700098,0.9478859390363815,0.9478859390363815,0.9419862340216323,0.9419862340216323,0.9449360865290068,0.9577187807276303,0.9528023598820059,0.9793510324483776,0.9754178957718781,0.9783677482792527,0.9783677482792527,0.984267453294002,0.9911504424778761,1.0,1.0,0.9990167158308751,1.0
FOLD 10,0.9783677482792527,0.9783677482792527,0.9783677482792527,0.9773844641101278,0.9783677482792527,0.967551622418879,0.9193706981317601,0.9183874139626352,0.9174041297935103,0.9410029498525073,0.9351032448377581,0.9390363815142576,0.9390363815142576,0.9380530973451328,0.9508357915437562,0.9537856440511308,0.976401179941003,0.9813176007866273,0.9823008849557522,0.9803343166175025,0.9862340216322517,0.9901671583087512,1.0,1.0,1.0,1.0
MEAN,0.9756490795649313,0.9756490795649313,0.97614394267637,0.9753534118755811,0.9756490795649313,0.9664805915540787,0.9186622444380645,0.9190591733386968,0.9198471725258146,0.9434065802997686,0.9386714115583729,0.9379827254915858,0.9387694469011736,0.9394594989933995,0.9558328803852664,0.9543530905855178,0.9767373219353288,0.97909905219427,0.9813701549280311,0.9791011961269229,0.9857073168672053,0.9905360189659447,0.9999016715830875,0.9997039442259487,0.9998032463862371,1.0
