,Euclidean + NCM,NCMML
FOLD 1,0.8282208588957055,0.9662576687116564
FOLD 2,0.8067484662576687,0.9631901840490797
FOLD 3,0.8077709611451943,0.9631901840490797
FOLD 4,0.8153061224489796,0.9642857142857143
FOLD 5,0.8091836734693878,0.9591836734693877
FOLD 6,0.8224489795918367,0.9642857142857143
FOLD 7,0.8073394495412844,0.9653414882772681
FOLD 8,0.8044806517311609,0.960285132382892
FOLD 9,0.8187372708757638,0.9663951120162932
FOLD 10,0.8136456211812627,0.9643584521384929
MEAN,0.8133882055138246,0.9636773323665577
