,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7481910274963821,0.7409551374819102,0.7250361794500724,0.7481910274963821,0.7829232995658466,0.7409551374819102,0.7192474674384949,0.7076700434153401,0.7206946454413893,0.7380607814761215
FOLD 2,0.7293777134587555,0.7076700434153401,0.7091172214182344,0.7308248914616498,0.7742402315484804,0.7264833574529667,0.7351664254703328,0.7178002894356006,0.7091172214182344,0.7351664254703328
FOLD 3,0.7525325615050651,0.7308248914616498,0.7091172214182344,0.7583212735166426,0.8118668596237337,0.7337192474674384,0.6989869753979739,0.7308248914616498,0.7134587554269175,0.7250361794500724
FOLD 4,0.7337192474674384,0.743849493487699,0.7033285094066569,0.7221418234442837,0.7872648335745297,0.7264833574529667,0.7264833574529667,0.7033285094066569,0.7076700434153401,0.7467438494934877
FOLD 5,0.7308248914616498,0.7337192474674384,0.7293777134587555,0.7279305354558611,0.7684515195369029,0.7206946454413893,0.7120115774240231,0.7105643994211288,0.7221418234442837,0.7091172214182344
FOLD 6,0.7452966714905933,0.7395079594790159,0.7250361794500724,0.7452966714905933,0.7916063675832128,0.7279305354558611,0.7308248914616498,0.7250361794500724,0.7293777134587555,0.7308248914616498
FOLD 7,0.7395079594790159,0.6960926193921853,0.7004341534008683,0.7409551374819102,0.7916063675832128,0.7250361794500724,0.7163531114327062,0.7076700434153401,0.7120115774240231,0.7308248914616498
FOLD 8,0.7395079594790159,0.7221418234442837,0.7221418234442837,0.743849493487699,0.7713458755426917,0.7279305354558611,0.7178002894356006,0.7279305354558611,0.7134587554269175,0.743849493487699
FOLD 9,0.7369942196531792,0.7225433526011561,0.7109826589595376,0.7384393063583815,0.7861271676300579,0.7341040462427746,0.7239884393063584,0.7297687861271677,0.7153179190751445,0.7196531791907514
FOLD 10,0.7167630057803468,0.7225433526011561,0.7138728323699421,0.7109826589595376,0.7760115606936416,0.7268786127167629,0.7254335260115607,0.7138728323699421,0.7297687861271677,0.7066473988439307
MEAN,0.7372715257271442,0.7259847920831835,0.7148444492776658,0.7366932819152942,0.784144408288231,0.7290215654618002,0.7206296060831667,0.7174466509958759,0.7173017240658174,0.7285924311753929
