,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.599549211119459,0.7513148009015778,0.6821938392186326,0.6010518407212622,0.8963185574755823,0.6356123215627348,0.8121712997746056,0.7738542449286251,0.8159278737791135,0.4951164537941398
FOLD 2,0.5935386927122465,0.7468069120961683,0.6867017280240421,0.5912847483095417,0.9120961682945156,0.6213373403456048,0.8054094665664914,0.7640871525169046,0.8136739293764087,0.4951164537941398
FOLD 3,0.5882794891059354,0.7640871525169046,0.7069872276483846,0.5882794891059354,0.9256198347107438,0.6265965439519159,0.8211870773854245,0.7640871525169046,0.830954169797145,0.4951164537941398
FOLD 4,0.5908408408408409,0.7515015015015015,0.6749249249249252,0.5945945945945946,0.9076576576576576,0.6351351351351351,0.8055555555555556,0.759009009009009,0.8198198198198198,0.722972972972973
FOLD 5,0.5795795795795796,0.7417417417417418,0.6996996996996997,0.5923423423423423,0.8933933933933934,0.6253753753753754,0.8033033033033034,0.7612612612612613,0.8175675675675675,0.7484984984984985
FOLD 6,0.5870870870870871,0.7477477477477478,0.7019519519519519,0.5885885885885885,0.9001501501501501,0.6328828828828829,0.8190690690690691,0.7545045045045045,0.8243243243243243,0.4954954954954955
FOLD 7,0.5960960960960962,0.7612612612612613,0.7079579579579579,0.5968468468468469,0.8746246246246246,0.6351351351351351,0.8115615615615616,0.7537537537537538,0.8198198198198198,0.7567567567567568
FOLD 8,0.5888972243060765,0.7501875468867217,0.7029257314328582,0.582145536384096,0.9092273068267068,0.6331582895723931,0.8072018004501126,0.7404351087771943,0.8267066766691673,0.4951237809452363
FOLD 9,0.5911477869467366,0.7629407351837959,0.7104276069017255,0.5851462865716429,0.9084771192798199,0.6211552888222055,0.8184546136534133,0.7591897974493623,0.8214553638409603,0.4951237809452363
FOLD 10,0.5933983495873969,0.7569392348087022,0.7066766691672918,0.5941485371342836,0.9047261815453864,0.6189047261815454,0.8184546136534133,0.754688672168042,0.8259564891222806,0.4951237809452363
MEAN,0.5908414357381455,0.7534528634646123,0.698044733692747,0.5914428810599134,0.903229099395858,0.6285293038964929,0.8122368360972951,0.7584870656885562,0.8216206034116607,0.5694444427941852
