,Euclidean + NCM,NCMML
FOLD 1,0.7813673929376409,0.786626596543952
FOLD 2,0.7791134485349361,0.7836213373403456
FOLD 3,0.7813673929376409,0.7806160781367393
FOLD 4,0.7777777777777778,0.7785285285285285
FOLD 5,0.7785285285285285,0.7792792792792793
FOLD 6,0.7725225225225225,0.7830330330330331
FOLD 7,0.7792792792792793,0.7837837837837838
FOLD 8,0.7711927981995499,0.77344336084021
FOLD 9,0.7779444861215303,0.7839459864966242
FOLD 10,0.781695423855964,0.7861965491372843
MEAN,0.7780789050695371,0.7819074533119779
