,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.830954169797145,0.6949661908339594
FOLD 2,0.8181818181818182,0.6776859504132231
FOLD 3,0.8136739293764087,0.6972201352366642
FOLD 4,0.8018018018018018,0.6726726726726727
FOLD 5,0.8145645645645646,0.6861861861861862
FOLD 6,0.8318318318318318,0.668918918918919
FOLD 7,0.8093093093093093,0.7087087087087087
FOLD 8,0.8049512378094523,0.6691672918229558
FOLD 9,0.8237059264816204,0.6751687921980495
FOLD 10,0.8117029257314329,0.6939234808702176
MEAN,0.8160677514885386,0.6844618327861556
