,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8572664359861591,0.8589965397923875,0.8486159169550173,0.8685121107266436,0.8641868512110726,0.860726643598616,0.8529411764705882,0.8174740484429066,0.8001730103806228,0.5441176470588235
FOLD 2,0.8625756266205704,0.8617113223854796,0.8435609334485739,0.8755401901469317,0.8755401901469317,0.8608470181503889,0.8617113223854796,0.7986171132238548,0.8401037165082109,0.5350043215211755
FOLD 3,0.8637931034482759,0.8474137931034482,0.8568965517241379,0.8663793103448276,0.8758620689655172,0.8525862068965517,0.8491379310344828,0.8224137931034483,0.8370689655172414,0.5362068965517242
FOLD 4,0.8577586206896551,0.853448275862069,0.8560344827586207,0.875,0.8655172413793103,0.8663793103448276,0.8551724137931035,0.8181034482758621,0.8456896551724138,0.571551724137931
FOLD 5,0.8577586206896551,0.8525862068965517,0.8387931034482758,0.8646551724137931,0.8672413793103448,0.85,0.8163793103448276,0.8172413793103448,0.8189655172413793,0.5413793103448276
FOLD 6,0.8613264427217916,0.8690783807062877,0.8466838931955211,0.8768303186907838,0.8897502153316107,0.8664944013781223,0.8492678725236865,0.8191214470284238,0.8277347114556417,0.5624461670973299
FOLD 7,0.8587424633936261,0.8458225667527993,0.8561584840654608,0.859603789836348,0.8837209302325582,0.8552971576227391,0.8613264427217916,0.8165374677002584,0.8225667527993109,0.5236864771748493
FOLD 8,0.8528399311531841,0.851118760757315,0.8459552495697074,0.8623063683304647,0.8820998278829604,0.8519793459552496,0.8390705679862306,0.8141135972461274,0.8253012048192772,0.5593803786574871
FOLD 9,0.8588640275387264,0.8493975903614458,0.8528399311531841,0.8605851979345955,0.8820998278829604,0.8519793459552496,0.8528399311531841,0.8175559380378657,0.8098106712564543,0.5292598967297762
FOLD 10,0.8545611015490534,0.8519793459552496,0.8502581755593803,0.8605851979345955,0.8786574870912222,0.8493975903614458,0.8528399311531841,0.8123924268502581,0.8192771084337349,0.5240963855421686
MEAN,0.8585486373790697,0.8541552782573033,0.8495796721877878,0.8669997656358983,0.876467601943449,0.8565687020263191,0.8490686899566559,0.8153570659219349,0.8246691313584288,0.5427129204816094
