,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.8131487889273357,0.8460207612456747
FOLD 2,0.8141745894554884,0.8565254969749352
FOLD 3,0.8008620689655173,0.8267241379310345
FOLD 4,0.8103448275862069,0.8353448275862069
FOLD 5,0.8068965517241379,0.8353448275862069
FOLD 6,0.7932816537467701,0.8242894056847545
FOLD 7,0.818260120585702,0.8337639965546942
FOLD 8,0.7994836488812392,0.8244406196213425
FOLD 9,0.7934595524956971,0.8304647160068847
FOLD 10,0.8029259896729777,0.8296041308089501
MEAN,0.8052837792041073,0.8342522920000685
