,Euclidean + NCM,NCMML
FOLD 1,0.8450363196125908,0.9443099273607748
FOLD 2,0.8401937046004843,0.9443099273607748
FOLD 3,0.8401937046004843,0.9418886198547215
FOLD 4,0.8547215496368039,0.9346246973365617
FOLD 5,0.837772397094431,0.9394673123486683
FOLD 6,0.8571428571428571,0.9491525423728814
FOLD 7,0.8428571428571429,0.9547619047619048
FOLD 8,0.85,0.9380952380952381
FOLD 9,0.8452380952380952,0.9452380952380952
FOLD 10,0.8476190476190476,0.9452380952380952
MEAN,0.8460774818401935,0.9437086359967715
