,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8813559322033898,0.9418886198547216,0.9346246973365616,0.937046004842615,0.9491525423728814,0.9564164648910412
FOLD 2,0.8595641646489104,0.9200968523002422,0.9055690072639224,0.9225181598062954,0.9346246973365617,0.927360774818402
FOLD 3,0.8768115942028986,0.9347826086956522,0.9106280193236715,0.92512077294686,0.9468599033816425,0.9347826086956522
FOLD 4,0.8671497584541062,0.9154589371980676,0.9057971014492754,0.929951690821256,0.9420289855072463,0.9299516908212561
FOLD 5,0.8719806763285024,0.9033816425120772,0.8816425120772947,0.9082125603864736,0.9227053140096618,0.9154589371980676
FOLD 6,0.8647342995169082,0.9130434782608696,0.8985507246376812,0.9033816425120772,0.9371980676328503,0.9227053140096618
FOLD 7,0.8816425120772947,0.92512077294686,0.9154589371980676,0.9371980676328504,0.9492753623188406,0.9371980676328504
FOLD 8,0.8743961352657005,0.9154589371980676,0.9057971014492754,0.929951690821256,0.9347826086956522,0.92512077294686
FOLD 9,0.8626506024096385,0.9228915662650602,0.8963855421686747,0.9132530120481928,0.9397590361445783,0.9204819277108434
FOLD 10,0.8602409638554217,0.9228915662650602,0.9132530120481928,0.910843373493976,0.944578313253012,0.927710843373494
MEAN,0.8700526638962771,0.9215014981496678,0.9067706654952618,0.921747697531185,0.9400964830652928,0.9297187402098128
