,Euclidean + NCM,NCMML
FOLD 1,0.8886198547215496,0.9636803874092009
FOLD 2,0.8861985472154964,0.9564164648910412
FOLD 3,0.8816425120772947,0.9589371980676329
FOLD 4,0.8695652173913043,0.9589371980676329
FOLD 5,0.8768115942028986,0.9565217391304348
FOLD 6,0.8961352657004831,0.9516908212560387
FOLD 7,0.8961352657004831,0.9637681159420289
FOLD 8,0.893719806763285,0.9589371980676329
FOLD 9,0.8867469879518072,0.9566265060240964
FOLD 10,0.8987951807228916,0.9590361445783132
MEAN,0.8874370232447493,0.9584551773434054
