,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9494949494949496,0.998989898989899,0.9737373737373738,0.987878787878788,0.9777777777777776,0.9444444444444444,0.9292929292929292,0.897979797979798,0.9717171717171718,0.8545454545454545
FOLD 2,0.9484848484848484,0.997979797979798,0.9818181818181818,0.98989898989899,0.9808080808080808,0.9474747474747476,0.9292929292929292,0.8868686868686869,0.9757575757575757,0.8595959595959596
FOLD 3,0.9464646464646465,0.998989898989899,0.9757575757575756,0.990909090909091,0.9797979797979798,0.9414141414141414,0.9232323232323232,0.8878787878787879,0.9727272727272728,0.8474747474747475
FOLD 4,0.9404040404040404,0.997979797979798,0.9808080808080808,0.98989898989899,0.9797979797979798,0.9404040404040404,0.9282828282828284,0.8868686868686869,0.9787878787878788,0.8585858585858586
FOLD 5,0.9393939393939394,1.0,0.9828282828282828,0.9888888888888888,0.9828282828282828,0.9444444444444444,0.9232323232323232,0.8939393939393939,0.9787878787878788,0.8575757575757575
FOLD 6,0.9434343434343434,0.998989898989899,0.9767676767676768,0.9888888888888888,0.9797979797979798,0.9383838383838384,0.9252525252525252,0.8909090909090909,0.9767676767676767,0.8595959595959596
FOLD 7,0.9404040404040404,0.998989898989899,0.9767676767676768,0.985858585858586,0.9777777777777776,0.9414141414141414,0.9303030303030304,0.8858585858585859,0.9777777777777777,0.8555555555555555
FOLD 8,0.9464646464646465,0.997979797979798,0.9747474747474748,0.9848484848484848,0.9767676767676768,0.9424242424242424,0.9333333333333332,0.9,0.9767676767676767,0.8585858585858586
FOLD 9,0.9494949494949496,0.998989898989899,0.9838383838383838,0.9888888888888888,0.9838383838383838,0.9414141414141414,0.9252525252525252,0.8888888888888888,0.9666666666666667,0.8595959595959596
FOLD 10,0.9464646464646465,0.997979797979798,0.9727272727272728,0.987878787878788,0.9848484848484848,0.9393939393939394,0.9282828282828284,0.8969696969696971,0.9616161616161616,0.8585858585858586
MEAN,0.945050505050505,0.9986868686868687,0.977979797979798,0.9883838383838384,0.9804040404040404,0.9421212121212121,0.9275757575757575,0.8916161616161616,0.9737373737373737,0.856969696969697
