,Euclidean + NCM,NCMML
FOLD 1,0.4265842349304482,0.8160741885625966
FOLD 2,0.43431221020092736,0.7797527047913446
FOLD 3,0.46213292117465227,0.9389489953632149
FOLD 4,0.44212962962962965,0.8016975308641975
FOLD 5,0.4672320740169622,0.8164996144949884
FOLD 6,0.4633770239013107,0.7987663839629915
FOLD 7,0.5134926754047803,0.7895142636854279
FOLD 8,0.4379336931380108,0.7879722436391673
FOLD 9,0.4317656129529684,0.8326908249807248
FOLD 10,0.4533538936006168,0.8018504240555128
MEAN,0.4532313968950306,0.8163767174400167
