,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.6526315789473685,0.7592105263157894
FOLD 2,0.6684210526315789,0.7552631578947369
FOLD 3,0.657030223390276,0.7660972404730617
FOLD 4,0.6649145860709592,0.7608409986859396
FOLD 5,0.6530880420499343,0.7542706964520368
FOLD 6,0.6373193166885677,0.7700394218134035
FOLD 7,0.6373193166885677,0.7674113009198423
FOLD 8,0.6561679790026247,0.7283464566929134
FOLD 9,0.6474442988204456,0.7431192660550459
FOLD 10,0.6636125654450262,0.7539267015706806
MEAN,0.6537948959735349,0.7558525766873451
