,Euclidean + NCM,NCMML
FOLD 1,0.34377174669450244,0.45024356297842727
FOLD 2,0.35952712100139084,0.4541029207232267
FOLD 3,0.3588317107093185,0.4527121001390821
FOLD 4,0.3822098679638638,0.46351633078526755
FOLD 5,0.33564975677553854,0.4572619874913134
FOLD 6,0.34954829742876997,0.462821403752606
FOLD 7,0.35510771369006255,0.4454482279360667
FOLD 8,0.3328700486448923,0.4412786657400973
FOLD 9,0.34420541290770296,0.4538514920194309
FOLD 10,0.3578363384188627,0.45423023578363386
MEAN,0.3519558014234904,0.45354669273491516
