,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8380782918149466,0.8843416370106761,0.8985765124555161,0.8558718861209964,0.9430604982206404,0.8683274021352313,0.9341637010676156,0.9199288256227758,0.9163701067615658,0.895017793594306
FOLD 2,0.8327402135231317,0.896797153024911,0.9110320284697508,0.8487544483985765,0.9555160142348754,0.8451957295373665,0.9377224199288255,0.9039145907473308,0.9074733096085409,0.8967971530249108
FOLD 3,0.8345195729537367,0.9145907473309609,0.9145907473309608,0.8558718861209964,0.9519572953736656,0.8505338078291815,0.9217081850533808,0.895017793594306,0.9110320284697508,0.9110320284697508
FOLD 4,0.8274021352313167,0.8843416370106761,0.9341637010676156,0.8451957295373665,0.9608540925266904,0.8451957295373665,0.9270462633451956,0.895017793594306,0.896797153024911,0.895017793594306
FOLD 5,0.8345195729537367,0.8879003558718861,0.905693950177936,0.8416370106761566,0.9644128113879004,0.8487544483985765,0.9270462633451956,0.9039145907473308,0.9110320284697508,0.8843416370106761
FOLD 6,0.8451957295373665,0.8985765124555161,0.9288256227758008,0.8629893238434164,0.9555160142348754,0.8647686832740213,0.9377224199288255,0.912811387900356,0.9181494661921709,0.8825622775800712
FOLD 7,0.8434163701067615,0.8932384341637011,0.9021352313167259,0.8736654804270463,0.9572953736654805,0.8701067615658363,0.9288256227758008,0.905693950177936,0.9092526690391459,0.9021352313167259
FOLD 8,0.8523131672597865,0.891459074733096,0.8967971530249108,0.8629893238434164,0.9626334519572952,0.8523131672597865,0.9323843416370108,0.8879003558718861,0.9110320284697508,0.912811387900356
FOLD 9,0.8475177304964538,0.8865248226950354,0.9219858156028368,0.8581560283687943,0.9627659574468084,0.8617021276595744,0.9273049645390072,0.9007092198581559,0.898936170212766,0.8865248226950354
FOLD 10,0.8371681415929203,0.8920353982300885,0.9079646017699116,0.8389380530973451,0.9610619469026548,0.8442477876106195,0.9345132743362832,0.904424778761062,0.9061946902654867,0.9097345132743364
MEAN,0.8392870925470157,0.8929805772526548,0.9121765363991965,0.8544069170434112,0.9575073455950885,0.8551145644807561,0.930843745595714,0.9029333286875445,0.908626965051384,0.8975974638460477
