,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.8078291814946619,0.8345195729537367,0.791814946619217,0.8131672597864769,0.8220640569395018,0.8238434163701067,0.5907473309608541,0.6245551601423488,0.6192170818505338,0.9110320284697508,0.9199288256227758,0.8274021352313167,0.8327402135231317,0.8274021352313167,0.8647686832740213,0.8469750889679716,0.8523131672597865,0.9448398576512456,0.9626334519572953,0.9341637010676157,0.9519572953736655,0.8398576512455516,0.8879003558718861,0.9199288256227758,0.9306049822064056,0.9822064056939501
FOLD 2,0.7953736654804271,0.8167259786476868,0.7615658362989324,0.7775800711743772,0.806049822064057,0.8220640569395018,0.3861209964412811,0.8683274021352313,0.42526690391459077,0.49644128113879005,0.8185053380782918,0.797153024911032,0.8202846975088968,0.8167259786476868,0.8523131672597865,0.8380782918149466,0.8291814946619217,0.9537366548042705,0.9733096085409253,0.9359430604982206,0.9537366548042705,0.8096085409252669,0.8612099644128114,0.8985765124555161,0.8790035587188612,0.9928825622775801
FOLD 3,0.8042704626334519,0.8149466192170819,0.7758007117437722,0.797153024911032,0.8256227758007118,0.8256227758007118,0.41637010676156583,0.5871886120996441,0.4928825622775801,0.4181494661921708,0.8078291814946619,0.7953736654804271,0.8540925266903915,0.8594306049822064,0.8380782918149466,0.8451957295373665,0.8345195729537367,0.9501779359430605,0.9750889679715302,0.9323843416370107,0.9608540925266904,0.806049822064057,0.8398576512455516,0.895017793594306,0.8772241992882562,0.9839857651245552
FOLD 4,0.7846975088967971,0.8113879003558719,0.7615658362989324,0.7758007117437722,0.802491103202847,0.8167259786476868,0.45373665480427045,0.791814946619217,0.702846975088968,0.8647686832740213,0.896797153024911,0.693950177935943,0.6886120996441281,0.7704626334519573,0.8647686832740213,0.806049822064057,0.8096085409252669,0.9448398576512456,0.9661921708185054,0.9448398576512456,0.9359430604982206,0.806049822064057,0.8238434163701067,0.8790035587188612,0.8772241992882562,0.9875444839857651
FOLD 5,0.806049822064057,0.8380782918149466,0.7811387900355872,0.791814946619217,0.8131672597864769,0.8274021352313167,0.6263345195729537,0.6850533807829181,0.6583629893238434,0.8790035587188612,0.9128113879003559,0.7864768683274022,0.806049822064057,0.8131672597864769,0.8327402135231317,0.8327402135231317,0.8345195729537367,0.9555160142348754,0.9697508896797153,0.9412811387900356,0.9626334519572953,0.797153024911032,0.8629893238434164,0.9306049822064056,0.8879003558718861,0.9822064056939501
FOLD 6,0.8167259786476868,0.8256227758007118,0.7829181494661922,0.7935943060498221,0.806049822064057,0.8398576512455516,0.6903914590747331,0.49644128113879005,0.48576512455516013,0.4430604982206406,0.8683274021352313,0.8434163701067615,0.8451957295373665,0.8434163701067615,0.8487544483985765,0.8078291814946619,0.8202846975088968,0.9572953736654805,0.9679715302491103,0.9377224199288257,0.9715302491103203,0.8185053380782918,0.8327402135231317,0.900355871886121,0.8772241992882562,0.9911032028469751
FOLD 7,0.800711743772242,0.8309608540925267,0.7935943060498221,0.8042704626334519,0.8185053380782918,0.8434163701067615,0.4128113879003559,0.8487544483985765,0.8772241992882562,0.8683274021352313,0.9092526690391459,0.8078291814946619,0.8398576512455516,0.8487544483985765,0.8790035587188612,0.8345195729537367,0.8291814946619217,0.9537366548042705,0.9697508896797153,0.9430604982206405,0.9323843416370107,0.8380782918149466,0.8274021352313167,0.9199288256227758,0.8843416370106761,0.9750889679715302
FOLD 8,0.8149466192170819,0.8256227758007118,0.7864768683274022,0.800711743772242,0.8291814946619217,0.8380782918149466,0.32562277580071175,0.6352313167259787,0.6120996441281139,0.8807829181494662,0.891459074733096,0.8096085409252669,0.8113879003558719,0.8113879003558719,0.8131672597864769,0.8291814946619217,0.8291814946619217,0.9555160142348754,0.9733096085409253,0.9466192170818505,0.9555160142348754,0.8540925266903915,0.8398576512455516,0.900355871886121,0.891459074733096,0.9893238434163701
FOLD 9,0.8102836879432624,0.8120567375886525,0.7730496453900709,0.7943262411347518,0.8138297872340425,0.8439716312056738,0.39184397163120566,0.700354609929078,0.5620567375886525,0.8634751773049646,0.898936170212766,0.675531914893617,0.74822695035461,0.7960992907801419,0.8386524822695035,0.8475177304964538,0.8191489361702128,0.9485815602836879,0.975177304964539,0.9361702127659575,0.9308510638297872,0.8156028368794326,0.8297872340425532,0.9308510638297872,0.8953900709219859,0.9929078014184397
FOLD 10,0.8088495575221238,0.8070796460176991,0.7628318584070797,0.7752212389380531,0.8,0.8070796460176991,0.25309734513274335,0.5185840707964602,0.8442477876106195,0.8725663716814159,0.9150442477876106,0.727433628318584,0.7345132743362832,0.8371681415929203,0.8300884955752212,0.8389380530973451,0.8407079646017699,0.9451327433628318,0.9628318584070796,0.9221238938053097,0.9362831858407079,0.8176991150442477,0.8212389380530973,0.904424778761062,0.8654867256637168,0.9752212389380531
