,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8782791185729276,0.6820566631689402,0.8761804826862539,0.8845750262329486,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 2,0.8866736621196223,0.6862539349422875,0.8803777544596013,0.8887722980062959,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 3,0.8709338929695698,0.6883525708289612,0.8656873032528857,0.8709338929695698,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 4,0.8730325288562435,0.6915005246589717,0.8677859391395593,0.8740818467995802,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 5,0.8835257082896117,0.6810073452256034,0.881427072402938,0.8835257082896117,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 6,0.8795811518324608,0.6680628272251309,0.881675392670157,0.8774869109947644,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 7,0.8952879581151832,0.6963350785340314,0.8942408376963351,0.8952879581151832,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 8,0.8942408376963351,0.7015706806282722,0.881675392670157,0.8931937172774869,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 9,0.875392670157068,0.675392670157068,0.8743455497382199,0.8785340314136125,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 10,0.8931937172774869,0.6963350785340314,0.8858638743455497,0.8931937172774869,0.0,0.0,0.0,0.0,0.0,0.0
MEAN,0.8830141245886509,0.6866867373903298,0.8789259599061658,0.883958510737654,0.0,0.0,0.0,0.0,0.0,0.0
