,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.6222455403987408,0.5603357817418678
FOLD 2,0.6453305351521511,0.5624344176285414
FOLD 3,0.6484784889821616,0.6159496327387198
FOLD 4,0.6589716684155299,0.6075550891920252
FOLD 5,0.6526757607555089,0.5907660020986358
FOLD 6,0.6219895287958115,0.5654450261780105
FOLD 7,0.6356020942408377,0.6397905759162303
FOLD 8,0.6146596858638743,0.5549738219895288
FOLD 9,0.6450261780104712,0.574869109947644
FOLD 10,0.6722513089005235,0.574869109947644
MEAN,0.641723078951561,0.5846988567378846
