,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.5283018867924528,0.5773584905660377,0.5924528301886792,0.5132075471698113,0.6226415094339622,0.5622641509433962,0.5471698113207547,0.5849056603773585,0.6113207547169811,0.5886792452830188
FOLD 2,0.5773584905660377,0.5962264150943396,0.5962264150943396,0.5735849056603773,0.6377358490566037,0.5811320754716981,0.5924528301886792,0.6075471698113207,0.5924528301886792,0.6
FOLD 3,0.569811320754717,0.5849056603773585,0.5245283018867924,0.5622641509433962,0.6792452830188679,0.5811320754716981,0.5584905660377358,0.6188679245283019,0.6075471698113207,0.6113207547169811
FOLD 4,0.575187969924812,0.5714285714285714,0.5789473684210527,0.5639097744360902,0.6353383458646616,0.5676691729323309,0.5639097744360902,0.6127819548872181,0.6127819548872181,0.556390977443609
FOLD 5,0.5692883895131086,0.5692883895131086,0.5917602996254682,0.599250936329588,0.6329588014981273,0.5880149812734082,0.6067415730337079,0.5955056179775281,0.6217228464419475,0.599250936329588
FOLD 6,0.550185873605948,0.587360594795539,0.5910780669144982,0.5427509293680297,0.6617100371747212,0.5613382899628253,0.5613382899628253,0.5947955390334573,0.5985130111524164,0.5947955390334573
FOLD 7,0.5576208178438662,0.5947955390334573,0.5724907063197026,0.5650557620817844,0.6171003717472119,0.5687732342007435,0.5762081784386617,0.6059479553903345,0.6245353159851301,0.5762081784386617
FOLD 8,0.5353159851301115,0.5762081784386617,0.5799256505576208,0.5464684014869888,0.6319702602230484,0.5650557620817844,0.5464684014869888,0.5799256505576208,0.587360594795539,0.6171003717472119
FOLD 9,0.5315985130111525,0.5650557620817844,0.5947955390334573,0.5204460966542751,0.6319702602230484,0.5576208178438662,0.5427509293680297,0.6022304832713755,0.5947955390334573,0.5799256505576208
FOLD 10,0.5241635687732342,0.5762081784386617,0.5947955390334573,0.5278810408921933,0.6505576208178439,0.5204460966542751,0.5650557620817844,0.5910780669144982,0.6022304832713755,0.620817843866171
MEAN,0.5518832815915441,0.5798835779767519,0.5817000717075068,0.5514819545022535,0.6401228339058097,0.5653446656836028,0.5660586116355257,0.5993586022749013,0.6053260500284066,0.5944489497416321
