,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.5849056603773585,0.6150943396226415
FOLD 2,0.5509433962264151,0.6226415094339622
FOLD 3,0.5735849056603773,0.6566037735849056
FOLD 4,0.556390977443609,0.5902255639097744
FOLD 5,0.5430711610486891,0.6179775280898876
FOLD 6,0.5799256505576208,0.654275092936803
FOLD 7,0.5836431226765799,0.6654275092936803
FOLD 8,0.6059479553903345,0.6282527881040892
FOLD 9,0.5650557620817844,0.5947955390334573
FOLD 10,0.5836431226765799,0.6356877323420075
MEAN,0.5727111714139349,0.6280981376351209
