,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.988833746898263,0.978287841191067,0.9708436724565755,0.988833746898263,0.9981389578163772,0.9993796526054591,0.934863523573201,0.8294044665012407,0.9838709677419355,0.9807692307692308
FOLD 2,0.9876084262701365,0.9758364312267658,0.9820322180916976,0.9888475836431226,0.9981412639405204,1.0,0.9206939281288724,0.8277571251548946,0.9739776951672863,0.9814126394052044
FOLD 3,0.9876237623762376,0.9777227722772277,0.978960396039604,0.9882425742574258,0.9981435643564356,1.0,0.9350247524752476,0.8397277227722773,0.9752475247524752,0.978960396039604
FOLD 4,0.9882498453927026,0.9783549783549783,0.987012987012987,0.9882498453927026,0.9993815708101422,0.9987631416202843,0.9208410636982064,0.8101422387136673,0.969078540507112,0.9783549783549784
FOLD 5,0.9870210135970334,0.9752781211372065,0.9802224969097652,0.9845488257107541,0.9975278121137208,0.9987639060568604,0.9264524103831892,0.8232385661310259,0.969097651421508,0.9758961681087762
FOLD 6,0.9888751545117428,0.977132262051916,0.9833127317676144,0.9845488257107541,0.9981458590852904,0.9987639060568604,0.9103831891223731,0.826946847960445,0.9752781211372065,0.9833127317676144
FOLD 7,0.9870210135970334,0.9777503090234858,0.9783683559950556,0.9851668726823238,0.9981458590852904,0.99938195302843,0.9128553770086528,0.8152039555006181,0.9610630407911002,0.9752781211372064
FOLD 8,0.9888820259419396,0.9765287214329833,0.987646695491044,0.9894996911673872,0.9975293390982088,0.9993823347745522,0.95491043854231,0.8375540457072267,0.9752933909820877,0.9814700432365658
FOLD 9,0.9876543209876544,0.9765432098765432,0.9771604938271604,0.9882716049382716,0.9987654320987654,0.9993827160493828,0.9413580246913579,0.8228395061728395,0.975925925925926,0.9820987654320988
FOLD 10,0.987045033929673,0.9759407772979642,0.972856261566934,0.9833436150524368,0.9969154842689698,0.999383096853794,0.9074645280690932,0.8365206662553979,0.9759407772979642,0.9796421961752004
MEAN,0.9878814343502418,0.9769375423870137,0.9798416309158438,0.9869553185453442,0.9980835142673721,0.9993200707045624,0.9264847235692504,0.8269335140869634,0.9734773635724603,0.979719527042648
