,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.9875930521091811,0.9801488833746899,0.988833746898263,0.9900744416873449,0.10270270270270272,0.9837837837837838
FOLD 2,0.9857496902106567,0.9733581164807931,0.9857496902106567,0.9919454770755886,0.09836065573770493,0.9836065573770492
FOLD 3,0.9845297029702971,0.9758663366336634,0.9870049504950495,0.989480198019802,0.09944751381215468,0.988950276243094
FOLD 4,0.9863945578231292,0.9758812615955473,0.9876314162028448,0.9925788497217068,0.1,0.9888888888888888
FOLD 5,0.9839307787391842,0.9728059332509271,0.9851668726823238,0.9894932014833128,0.1005586592178771,0.988826815642458
FOLD 6,0.9851668726823238,0.9752781211372065,0.9864029666254636,0.9876390605686032,0.1005586592178771,0.9832402234636872
FOLD 7,0.9857849196538937,0.977132262051916,0.9857849196538937,0.9876390605686032,0.1005586592178771,0.9832402234636872
FOLD 8,0.9870290302655961,0.9752933909820877,0.9864113650401483,0.9907350216182829,0.10112359550561796,0.9887640449438202
FOLD 9,0.9851851851851852,0.9777777777777777,0.9858024691358025,0.9925925925925926,0.1016949152542373,0.9887005649717514
FOLD 10,0.9845774213448488,0.9765576804441702,0.986428130783467,0.9895126465144972,0.10227272727272728,0.9829545454545454
MEAN,0.9855941210984296,0.9760099763728778,0.9865216527727914,0.9901690549850333,0.10072780879387762,0.9860955924232764
