,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.9733250620347395,0.8790322580645161
FOLD 2,0.9733581164807931,0.8444857496902106
FOLD 3,0.974009900990099,0.8886138613861386
FOLD 4,0.9746444032158318,0.8806431663574521
FOLD 5,0.9703337453646477,0.8887515451174289
FOLD 6,0.969097651421508,0.8974042027194067
FOLD 7,0.9740420271940667,0.8893695920889988
FOLD 8,0.9722050648548487,0.8900555898702903
FOLD 9,0.9697530864197531,0.921604938271605
FOLD 10,0.9728562615669339,0.9136335595311537
MEAN,0.9723625319543221,0.88935944630972
