,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8380952380952381,0.8825396825396825,0.8634920634920635,0.8444444444444444,0.923809523809524,0.9015873015873016,0.873015873015873,0.8984126984126984,0.8984126984126984,0.9015873015873016
FOLD 2,0.8444444444444444,0.8825396825396825,0.8603174603174604,0.8380952380952381,0.9365079365079364,0.9015873015873016,0.9015873015873016,0.8793650793650793,0.8984126984126984,0.8920634920634921
FOLD 3,0.8412698412698413,0.8952380952380953,0.8698412698412699,0.8444444444444444,0.9301587301587302,0.9047619047619048,0.8761904761904762,0.8888888888888888,0.9079365079365079,0.9047619047619048
FOLD 4,0.8412698412698413,0.8825396825396825,0.8793650793650793,0.8507936507936508,0.9206349206349206,0.9174603174603174,0.9047619047619048,0.9015873015873016,0.8984126984126984,0.9015873015873016
FOLD 5,0.8380952380952381,0.9079365079365079,0.8539682539682539,0.8412698412698413,0.9174603174603174,0.907936507936508,0.8666666666666667,0.8761904761904762,0.8920634920634921,0.9174603174603174
FOLD 6,0.8481012658227848,0.9145569620253164,0.8892405063291139,0.8544303797468354,0.9240506329113924,0.9050632911392406,0.8670886075949367,0.8924050632911392,0.9113924050632911,0.9208860759493672
FOLD 7,0.8422712933753943,0.9085173501577287,0.8738170347003155,0.8611987381703471,0.9369085173501576,0.8990536277602523,0.8801261829652997,0.8990536277602523,0.8990536277602523,0.9085173501577288
FOLD 8,0.8359621451104101,0.9022082018927445,0.8580441640378549,0.8422712933753943,0.9274447949526814,0.9085173501577288,0.8864353312302842,0.8927444794952681,0.9022082018927445,0.9053627760252366
FOLD 9,0.8454258675078864,0.9053627760252366,0.8643533123028391,0.8422712933753943,0.9337539432176656,0.9179810725552049,0.8864353312302842,0.8990536277602523,0.8990536277602523,0.8958990536277602
FOLD 10,0.8391167192429022,0.8958990536277602,0.8643533123028391,0.8391167192429022,0.9211356466876972,0.9211356466876972,0.8801261829652997,0.8927444794952681,0.9085173501577287,0.9179810725552049
MEAN,0.8414051894233981,0.8977337994522436,0.867679245665709,0.8458336042958491,0.9271864963691023,0.9085084321633458,0.8822433858208327,0.8920445722246626,0.9015463307872364,0.9066106645775616
