,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9629629629629629,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.9481481481481482,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9777777777777777
FOLD 2,0.9481481481481482,0.9629629629629629,0.9703703703703703,0.9555555555555556,0.9703703703703703,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9481481481481482,0.9777777777777777
FOLD 3,0.9703703703703703,0.9851851851851852,0.9777777777777777,0.9851851851851852,0.9777777777777777,0.9629629629629629,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9777777777777777
FOLD 4,0.9703703703703703,0.9777777777777777,0.9703703703703703,0.9555555555555556,0.9703703703703703,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9481481481481482,0.9777777777777777
FOLD 5,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9703703703703703
FOLD 6,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.9851851851851852,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.9703703703703703
FOLD 7,0.9555555555555556,0.9703703703703703,0.9629629629629629,0.9481481481481482,0.9703703703703703,0.9407407407407408,0.9629629629629629,0.9481481481481482,0.9555555555555556,0.9777777777777777
FOLD 8,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.9703703703703703,0.9481481481481482,0.9481481481481482,0.9555555555555556,0.9555555555555556,0.9777777777777777
FOLD 9,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.9629629629629629,0.9481481481481482,0.9629629629629629
FOLD 10,0.9629629629629629,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9555555555555556,0.9629629629629629,0.9851851851851852
MEAN,0.9637037037037037,0.9711111111111108,0.968888888888889,0.9651851851851854,0.9711111111111113,0.9570370370370369,0.9614814814814814,0.9607407407407408,0.9570370370370371,0.9755555555555556
