,Euclidean + NCM,NCMML
FOLD 1,0.5597554196775987,0.7103946637020567
FOLD 2,0.5596890616324264,0.7046085508051083
FOLD 3,0.5715871254162043,0.7175360710321864
FOLD 4,0.5732519422863485,0.7108768035516093
FOLD 5,0.5725359911406424,0.7159468438538206
FOLD 6,0.5793255942509674,0.7075732448866777
FOLD 7,0.5637065637065637,0.7131825703254274
FOLD 8,0.572136563876652,0.7075991189427313
FOLD 9,0.5799890049477735,0.7124793842770754
FOLD 10,0.5754251234229293,0.7147558968732858
MEAN,0.5707402390358107,0.711495314824998
