,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8119158878504673,0.7610981308411215,0.8300233644859814,0.8200934579439252,0.8469626168224299,0.8084112149532711,0.8084112149532711,0.7704439252336449,0.7780373831775701,0.7476635514018691
FOLD 2,0.8107476635514018,0.7669392523364486,0.8002336448598131,0.8195093457943925,0.8376168224299065,0.8066588785046729,0.8142523364485982,0.7716121495327103,0.7897196261682243,0.758177570093458
FOLD 3,0.8189252336448598,0.7535046728971962,0.8014018691588785,0.8235981308411215,0.8422897196261683,0.8025700934579441,0.8183411214953271,0.7575934579439252,0.7856308411214953,0.7067757009345794
FOLD 4,0.8189252336448598,0.7301401869158879,0.8119158878504673,0.8253504672897196,0.856892523364486,0.8119158878504673,0.8183411214953271,0.7605140186915887,0.7774532710280374,0.7067757009345794
FOLD 5,0.8108581436077058,0.7752481027437245,0.8137769994162288,0.8190309398715704,0.8546409807355516,0.804436660828955,0.7729130180969059,0.7589025102159953,0.7711617046117922,0.699357851722125
FOLD 6,0.8172796263864565,0.7589025102159953,0.8137769994162288,0.8289550496205488,0.8254524226503209,0.8061879743140689,0.8166958552247519,0.7641564506713369,0.7863397548161121,0.7028604786923526
FOLD 7,0.8061879743140689,0.7647402218330415,0.8067717454757735,0.819614711033275,0.8423817863397548,0.7980151780502043,0.8126094570928196,0.7653239929947461,0.7822533566841798,0.7151196730881495
FOLD 8,0.8161120840630472,0.762405137186223,0.8324576765907764,0.8213660245183888,0.8493870402802102,0.8126094570928196,0.7781669585522475,0.7682428488032691,0.7892586106246351,0.7092819614711033
FOLD 9,0.814944541739638,0.7775831873905429,0.822533566841798,0.8231173380035026,0.8423817863397548,0.8067717454757735,0.7968476357267951,0.7734967892586107,0.7869235259778167,0.7775831873905429
FOLD 10,0.8115519253208868,0.749708284714119,0.8144690781796966,0.8144690781796966,0.8424737456242707,0.8016336056009334,0.7736289381563594,0.7637106184364061,0.778879813302217,0.6919486581096851
MEAN,0.8137448314123391,0.76002696870743,0.8147360832275643,0.8215104543096141,0.8440479444212853,0.805921069612911,0.8010207657242404,0.7653996761782234,0.782565788751208,0.7215544333838444
