,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.6816720257234726,0.8327974276527331,0.7556270096463023,0.6816720257234726,0.7234726688102894,0.6977491961414791,0.6141479099678456,0.7170418006430869,0.7459807073954984,0.6141479099678456
FOLD 2,0.6857142857142857,0.8412698412698413,0.726984126984127,0.692063492063492,0.7746031746031746,0.6984126984126984,0.6412698412698413,0.7238095238095238,0.7523809523809524,0.6126984126984127
FOLD 3,0.6825396825396826,0.8444444444444444,0.7492063492063492,0.6857142857142857,0.7587301587301587,0.6984126984126984,0.6412698412698413,0.7047619047619048,0.7428571428571429,0.6222222222222222
FOLD 4,0.7084639498432602,0.8463949843260188,0.780564263322884,0.6959247648902821,0.8025078369905956,0.7210031347962382,0.6489028213166145,0.7492163009404389,0.768025078369906,0.6363636363636364
FOLD 5,0.7242424242424242,0.8333333333333334,0.7484848484848485,0.7151515151515152,0.7727272727272727,0.7242424242424242,0.6515151515151515,0.7181818181818181,0.7545454545454545,0.6363636363636364
FOLD 6,0.7,0.8666666666666667,0.7787878787878788,0.7,0.7333333333333333,0.7181818181818181,0.6666666666666666,0.7575757575757576,0.7575757575757576,0.6484848484848484
FOLD 7,0.7242424242424242,0.8515151515151516,0.7393939393939394,0.7303030303030303,0.7757575757575758,0.7151515151515152,0.696969696969697,0.7333333333333333,0.7787878787878788,0.6757575757575758
FOLD 8,0.7212121212121212,0.8363636363636363,0.7545454545454545,0.7363636363636363,0.8181818181818182,0.7242424242424242,0.6727272727272727,0.7363636363636363,0.7515151515151515,0.6484848484848484
FOLD 9,0.7303030303030303,0.8484848484848485,0.7606060606060606,0.7090909090909091,0.7727272727272727,0.7333333333333333,0.6575757575757576,0.7393939393939394,0.7787878787878788,0.6393939393939394
FOLD 10,0.7393939393939394,0.8515151515151516,0.7727272727272727,0.7090909090909091,0.7909090909090909,0.7303030303030303,0.6575757575757576,0.7545454545454545,0.7727272727272727,0.6606060606060606
MEAN,0.709778388321464,0.8452785485571827,0.7566927203705116,0.7055374568391533,0.7722950202770582,0.716103227321766,0.6548620716854445,0.7334223469548894,0.7603183274942894,0.6394523090343027
