,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.7684887459807074,0.8681672025723473,0.7909967845659164,0.8906752411575563,0.8360128617363344,0.8167202572347267
FOLD 2,0.7714285714285715,0.8666666666666667,0.7904761904761904,0.8761904761904762,0.8412698412698413,0.7936507936507936
FOLD 3,0.7619047619047619,0.873015873015873,0.7777777777777778,0.8825396825396825,0.8444444444444444,0.7555555555555555
FOLD 4,0.7962382445141066,0.890282131661442,0.8181818181818182,0.8934169278996865,0.8589341692789969,0.8181818181818182
FOLD 5,0.793939393939394,0.8636363636363636,0.8090909090909091,0.8787878787878788,0.8454545454545455,0.8303030303030303
FOLD 6,0.803030303030303,0.8757575757575757,0.8303030303030303,0.8818181818181818,0.8424242424242424,0.8363636363636363
FOLD 7,0.793939393939394,0.8515151515151516,0.8272727272727273,0.8939393939393939,0.8333333333333334,0.8484848484848485
FOLD 8,0.7757575757575758,0.8515151515151516,0.8,0.9030303030303031,0.8242424242424242,0.7818181818181819
FOLD 9,0.7787878787878788,0.8636363636363636,0.8151515151515152,0.8757575757575757,0.8333333333333334,0.8181818181818182
FOLD 10,0.7878787878787878,0.8575757575757575,0.793939393939394,0.8818181818181818,0.8242424242424242,0.7666666666666667
MEAN,0.7831393657161481,0.8661768237552693,0.8053190146759277,0.8857973842938917,0.8383691619759919,0.8065926606441076
