,Euclidean + NCM,NCMML,Euclidean + NCM (2 ctrd),NCMC (2 ctrd),Euclidean + NCM (3 ctrd),NCMC (3 ctrd)
appendicitis,0.8365759145203434,0.8512362355356476,0.6479889884285182,0.6248282941396044,0.8102027342291899,0.7557505132512132
balance,0.7496899449719722,0.6865778438760352,0.7004458170367774,0.8280932030100244,0.7160921847335362,0.8321810023869973
bupa,0.5996784565916399,0.66280365107354,0.6270666943263147,0.6247899595477647,0.6589544653044289,0.6409055077274142
cleveland,0.5742273091918896,0.6296158515556936,0.5727111714139349,0.6280981376351209,0.6203248718175061,0.6435442064688403
glass,0.5218484513310019,0.6221212568968515,0.6479385386219902,0.5877959673020037,0.6427030452337117,0.7461094188234344
hepatitis,0.8500024117306579,0.9832344523763588,0.8792304435440649,0.9513835294874268,0.8986379081184208,0.9833121636975584
ionosphere,0.7445328257619116,0.9313014503942108,0.9186160660806272,0.9018477995625304,0.9062721705967322,0.947759288943652
iris,0.9318518518518518,0.9814814814814816,0.9696296296296296,0.9711111111111109,0.9696296296296298,0.98
monk-2,0.8078771965232093,0.7950084636518261,0.8071040006469208,0.8112170908006119,0.8127245483957115,0.8457313261125574
newthyroid,0.935919555579296,0.9798434912664922,0.9498824849099942,0.9741627049837082,0.9695048341434752,0.9757117675337856
sonar,0.7265288844682442,0.9257335048576116,0.7120760065428804,0.9219957253507256,0.836067108568017,0.9412416485905524
wine,0.9687923636701664,1.0,0.9825269813056934,0.9918903832687332,0.976276835719856,0.9912653832687328
movement_libras,0.6358293066409265,0.8176750141236229,0.7777445450657557,0.8803634302891427,0.871760039371748,0.9420057288069262
pima,0.7337970437415825,0.7717001413717239,0.7565102097153324,0.672021573826991,0.7521695122257263,0.7322070301063215
vehicle,0.4545572280057632,0.7998352490875881,0.6066400381419348,0.7429776960451313,0.6537948959735349,0.7558525766873451
vowel,0.5367003367003366,0.6689113355780023,0.6087542087542086,0.7272727272727273,0.5732884399551066,0.7690235690235689
wdbc,0.9388808042330428,0.9794932924253176,0.9548861615487539,0.9796893693578028,0.9703158773610682,0.981056940564167
wisconsin,0.9648605523736612,0.9681144403780856,0.9586779821962944,0.9655104335298186,0.9515208555380956,0.9541325302302898
banana,0.576942474302698,0.557131461408723,0.641723078951561,0.5846988567378846,0.7516763266180646,0.7828028326090659
digits,0.9066322517377614,0.8047796105232118,0.9521440917987828,0.8664500589948911,0.972362531954322,0.88935944630972
letter,0.5707402390358107,0.711495314824998,0.5895519405866148,0.7251007274495177,0.660195134554065,0.7825303497732186
magic,0.7712391951103356,0.7790041023708454,0.7786540443063078,0.7947104462904716,0.7600858236044453,0.7820404289238223
optdigits,0.9173819472746606,0.8018286240317938,0.9479388248597,0.8542397797816568,0.967560725716356,0.8923189468882315
page-blocks,0.8133882055138246,0.9636773323665576,0.8219651718761186,0.9090977425797276,0.8680794174106463,0.8966371688085809
phoneme,0.7417003400636618,0.7587622549961509,0.7683220154643426,0.7084891184430855,0.7207337114782821,0.7091139044046534
ring,0.7780789050695371,0.7819074533119779,0.8002232969184417,0.7197567634136487,0.8160677514885386,0.6844618327861556
satimage,0.7868297183982051,0.847860660629977,0.8052837792041073,0.8342522920000685,0.8244920485331528,0.8362257416104752
segment,0.8460774818401935,0.9437086359967716,0.8596166263115415,0.9203268765133172,0.8581113801452785,0.9242292171105732
spambase,0.8874370232447493,0.9584551773434054,0.8816410774163081,0.9400947256760488,0.8985534206165294,0.933576473138228
texture,0.7445454545454546,0.9912121212121212,0.8586868686868687,0.9694949494949494,0.907979797979798,0.975959595959596
thyroid,0.4532313968950306,0.8163767174400167,0.5724948330286705,0.6875210047341784,0.5959899044242988,0.7469368468539762
titanic,0.7540112564066952,0.7825758943282691,0.6746676827027424,0.5624545566190797,0.5630446826671482,0.7279959471895348
twonorm,0.9807937344696532,0.9854452351826696,0.9799684155273052,0.9847701790312442,0.9787683407338322,0.9855203102577444
winequality-red,0.3519558014234904,0.4535466927349152,0.40677903870143134,0.4031680134562361,0.3940628167826604,0.4024034425007896
