,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.9637305699481865,0.9792746113989638
FOLD 2,0.9689119170984456,0.9740932642487047
FOLD 3,0.9637305699481865,0.9740932642487047
FOLD 4,0.9740932642487047,0.9792746113989638
FOLD 5,0.9689119170984456,0.9740932642487047
FOLD 6,0.9690721649484536,0.9742268041237113
FOLD 7,0.9690721649484536,0.979381443298969
FOLD 8,0.9742268041237113,0.9742268041237113
FOLD 9,0.9742268041237113,0.9690721649484536
FOLD 10,0.9690721649484536,0.979381443298969
MEAN,0.9695048341434752,0.9757117675337856
