,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9731876861966235,0.971201588877855,0.9712015888778549,0.9751737835153924,0.9920556107249257,0.9990069513406156,0.9394240317775572,0.8282025819265144,0.9831181727904668,0.958291956305859
FOLD 2,0.9722497522299306,0.9643211100099108,0.9672943508424182,0.9692765113974232,0.9910802775024776,0.9990089197224976,0.9365708622398414,0.8166501486620417,0.9722497522299306,0.958374628344896
FOLD 3,0.9802371541501976,0.9683794466403162,0.9733201581027668,0.9802371541501976,0.9920948616600792,0.9970355731225296,0.9377470355731226,0.8389328063241107,0.9782608695652174,0.9683794466403162
FOLD 4,0.9763313609467456,0.9684418145956607,0.9714003944773176,0.9763313609467456,0.9940828402366864,0.9990138067061144,0.921104536489152,0.8343195266272192,0.97534516765286,0.9575936883629192
FOLD 5,0.9734251968503936,0.9655511811023622,0.9753937007874016,0.9734251968503936,0.9901574803149606,1.0,0.908464566929134,0.8405511811023622,0.9763779527559056,0.9586614173228346
FOLD 6,0.9705014749262536,0.9685349065880039,0.95968534906588,0.975417895771878,0.9891838741396264,0.9980334316617504,0.9459193706981318,0.8289085545722714,0.9754178957718781,0.960668633235005
FOLD 7,0.9724680432645034,0.9655850540806293,0.9734513274336284,0.975417895771878,0.9882005899705014,0.9970501474926252,0.9459193706981318,0.8298918387413963,0.9803343166175025,0.95968534906588
FOLD 8,0.975417895771878,0.9655850540806293,0.968534906588004,0.9773844641101278,0.9891838741396264,0.9990167158308751,0.91937069813176,0.8190757128810227,0.9773844641101278,0.9567354965585054
FOLD 9,0.9744346116027532,0.9705014749262537,0.975417895771878,0.9783677482792528,0.9891838741396264,0.9980334316617504,0.9419862340216324,0.8348082595870207,0.9813176007866273,0.9626352015732548
FOLD 10,0.9773844641101278,0.9714847590953786,0.9714847590953786,0.9773844641101278,0.9882005899705014,0.9990167158308751,0.9577187807276304,0.8220255653883972,0.9803343166175025,0.9577187807276304
MEAN,0.9745637640049406,0.9679586389997,0.9707184431042528,0.9758416474903416,0.9903423872799012,0.9985215693369633,0.9354225487286094,0.8293366175812358,0.978014050889802,0.9598744598137101
