,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.945382323733863,0.8758689175769613
FOLD 2,0.9395441030723488,0.7789890981169475
FOLD 3,0.9525691699604744,0.8458498023715415
FOLD 4,0.9506903353057199,0.8481262327416174
FOLD 5,0.952755905511811,0.8543307086614174
FOLD 6,0.9429695181907571,0.8623402163225172
FOLD 7,0.9449360865290068,0.8436578171091446
FOLD 8,0.9508357915437562,0.8613569321533924
FOLD 9,0.9498525073746312,0.8928220255653884
FOLD 10,0.9498525073746312,0.8790560471976401
MEAN,0.9479388248596999,0.8542397797816568
