,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9591002044989776,0.9693251533742331,0.9652351738241308,0.9631901840490796,0.9652351738241308,0.9601226993865032,,0.9519427402862984,0.967280163599182,0.9539877300613496
FOLD 2,0.9468302658486708,0.9723926380368099,0.9642126789366052,0.952965235173824,0.9631901840490796,0.9437627811860941,,0.941717791411043,0.9611451942740287,0.9560327198364008
FOLD 3,0.9468302658486708,0.9703476482617587,0.9601226993865032,0.948875255623722,0.958077709611452,0.9458077709611452,,0.948875255623722,0.9642126789366053,0.9427402862985684
FOLD 4,0.9479591836734694,0.9683673469387755,0.9622448979591836,0.9479591836734694,0.9632653061224491,0.9489795918367347,,0.95,0.9581632653061225,0.9448979591836736
FOLD 5,0.9459183673469388,0.9714285714285714,0.960204081632653,0.9438775510204082,0.9653061224489796,0.9438775510204082,,0.9479591836734694,0.9663265306122449,0.9428571428571428
FOLD 6,0.9459183673469388,0.9724489795918367,0.9632653061224491,0.9479591836734694,0.9714285714285714,0.946938775510204,,0.9551020408163264,0.9693877551020408,0.9510204081632652
FOLD 7,0.9531090723751274,0.9724770642201835,0.9643221202854232,0.9531090723751274,0.9683995922528033,0.9510703363914372,0.9449541284403671,0.9520897043832824,0.9643221202854231,0.9429153924566768
FOLD 8,0.95010183299389,0.9684317718940937,0.959266802443992,0.9541751527494908,0.9623217922606924,0.9490835030549898,,0.9470468431771896,0.9613034623217923,0.9521384928716904
FOLD 9,0.9480651731160896,0.9704684317718941,0.9643584521384928,0.9480651731160896,0.9674134419551936,0.9490835030549898,0.9358452138492872,0.9511201629327902,0.960285132382892,0.940936863543788
FOLD 10,0.9439918533604889,0.9674134419551935,0.9613034623217924,0.9439918533604889,0.9674134419551936,0.9429735234215886,,0.9490835030549898,0.9643584521384929,0.940936863543788
MEAN,0.9487824586409263,0.9703101047473348,0.9624535675051226,0.950416784481517,0.9652051335908544,0.9481700035824095,,0.9494937225359111,0.9636784754958823,0.9468463858816344
