,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.8865030674846626,0.8793456032719836
FOLD 2,0.8629856850715747,0.8905930470347648
FOLD 3,0.869120654396728,0.8987730061349694
FOLD 4,0.8571428571428571,0.8989795918367347
FOLD 5,0.8714285714285714,0.8959183673469387
FOLD 6,0.8704081632653061,0.9102040816326531
FOLD 7,0.8674821610601428,0.891946992864424
FOLD 8,0.8574338085539714,0.8869653767820774
FOLD 9,0.8716904276985743,0.9093686354378818
FOLD 10,0.8665987780040734,0.9042769857433809
MEAN,0.8680794174106463,0.8966371688085809
