,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7932098765432098,0.7458847736625515,0.7932098765432098,0.7921810699588477,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 2,0.7993827160493827,0.7366255144032922,0.7818930041152263,0.7993827160493827,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 3,0.7973251028806584,0.7592592592592593,0.7870370370370371,0.7973251028806584,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 4,0.7921810699588477,0.720164609053498,0.7870370370370371,0.7932098765432098,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 5,0.7985611510791367,0.7338129496402878,0.7965056526207606,0.8016443987667009,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 6,0.7965056526207606,0.7194244604316546,0.7862281603288798,0.7944501541623844,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 7,0.7965056526207606,0.7194244604316546,0.7882836587872559,0.7934224049331963,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 8,0.7854209445585215,0.7392197125256673,0.7802874743326489,0.784394250513347,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 9,0.8059548254620124,0.7012320328542094,0.7772073921971252,0.8059548254620124,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 10,0.7926078028747433,0.7464065708418891,0.7761806981519507,0.7987679671457906,0.0,0.0,0.0,0.0,0.0,0.0
MEAN,0.7957654794648034,0.7321454343103964,0.7853869991151131,0.796073276641553,0.0,0.0,0.0,0.0,0.0,0.0
