,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.7932098765432098,0.7932098765432098,0.7921810699588477,0.7952674897119342,0.7932098765432098,0.8024691358024691,0.698559670781893,0.7129629629629629,0.6893004115226338,0.7211934156378601,0.7109053497942387,0.7808641975308642,0.7788065843621399,0.7788065843621399,0.7685185185185185,0.8024691358024691,0.7952674897119342,0.7932098765432098,0.7952674897119342,0.7839506172839507,0.7962962962962963,0.8106995884773662,0.8024691358024691,0.7767489711934157,0.8096707818930041,0.9763374485596708
FOLD 2,0.7993827160493827,0.7993827160493827,0.7911522633744856,0.7870370370370371,0.7993827160493827,0.7952674897119342,0.6810699588477366,0.7139917695473251,0.7109053497942387,0.7407407407407407,0.7283950617283951,0.7695473251028807,0.7695473251028807,0.7705761316872428,0.779835390946502,0.7921810699588477,0.8004115226337448,0.7952674897119342,0.7942386831275721,0.7870370370370371,0.7890946502057613,0.7962962962962963,0.801440329218107,0.7860082304526749,0.7993827160493827,0.9783950617283951
FOLD 3,0.7973251028806584,0.7973251028806584,0.7993827160493827,0.801440329218107,0.7973251028806584,0.8004115226337448,0.6944444444444444,0.6790123456790124,0.6584362139917695,0.720164609053498,0.6944444444444444,0.779835390946502,0.779835390946502,0.7829218106995884,0.7705761316872428,0.7901234567901234,0.7962962962962963,0.8034979423868313,0.8034979423868313,0.7921810699588477,0.76440329218107,0.8055555555555556,0.8024691358024691,0.7829218106995884,0.7818930041152263,0.9866255144032922
FOLD 4,0.7921810699588477,0.7921810699588477,0.7890946502057613,0.7921810699588477,0.7921810699588477,0.7921810699588477,0.6882716049382716,0.7242798353909465,0.7129629629629629,0.7150205761316872,0.7253086419753086,0.7695473251028807,0.7664609053497943,0.7664609053497943,0.76440329218107,0.7777777777777778,0.7921810699588477,0.7901234567901234,0.7921810699588477,0.7829218106995884,0.7849794238683128,0.801440329218107,0.7932098765432098,0.7880658436213992,0.7921810699588477,0.9691358024691358
FOLD 5,0.7985611510791367,0.7985611510791367,0.7995889003083247,0.8016443987667009,0.7985611510791367,0.8129496402877698,0.6988694758478932,0.6834532374100719,0.6803699897225077,0.6793422404933196,0.7440904419321686,0.7677286742034943,0.7687564234326825,0.7656731757451182,0.7810894141829393,0.7975334018499486,0.802672147995889,0.7965056526207606,0.7954779033915724,0.8006166495375129,0.8088386433710175,0.8119218910585817,0.8057553956834532,0.7954779033915724,0.8067831449126414,0.9917780061664954
FOLD 6,0.7965056526207606,0.7965056526207606,0.7954779033915724,0.7923946557040082,0.7965056526207606,0.7903391572456321,0.7132579650565262,0.7050359712230215,0.6998972250770812,0.7009249743062693,0.723535457348407,0.7605344295991778,0.7646454265159301,0.7667009249743063,0.7595066803699897,0.789311408016444,0.7944501541623844,0.7965056526207606,0.7985611510791367,0.7923946557040082,0.7790339157245632,0.7995889003083247,0.7913669064748201,0.7790339157245632,0.8036998972250771,0.9845837615621789
FOLD 7,0.7965056526207606,0.7965056526207606,0.7913669064748201,0.7934224049331963,0.7965056526207606,0.7852004110996916,0.6998972250770812,0.7081192189105858,0.697841726618705,0.7255909558067831,0.7327852004110997,0.7697841726618705,0.7697841726618705,0.7697841726618705,0.7656731757451182,0.7656731757451182,0.7923946557040082,0.7903391572456321,0.7882836587872559,0.7965056526207606,0.7841726618705036,0.7965056526207606,0.7985611510791367,0.7831449126413155,0.8057553956834532,0.9773895169578622
FOLD 8,0.7854209445585215,0.7854209445585215,0.784394250513347,0.784394250513347,0.7854209445585215,0.7926078028747433,0.6806981519507187,0.6930184804928131,0.7053388090349076,0.702258726899384,0.742299794661191,0.7802874743326489,0.7782340862422998,0.7802874743326489,0.7792607802874744,0.7895277207392197,0.7885010266940452,0.7813141683778234,0.7864476386036962,0.7823408624229979,0.7854209445585215,0.7915811088295688,0.7833675564681725,0.7751540041067762,0.7967145790554415,0.9928131416837782
FOLD 9,0.8059548254620124,0.8059548254620124,0.8059548254620124,0.8008213552361396,0.8059548254620124,0.8049281314168378,0.6848049281314168,0.6940451745379876,0.6991786447638604,0.7268993839835729,0.7217659137577002,0.7731006160164271,0.7751540041067762,0.7792607802874744,0.7874743326488707,0.795687885010267,0.8018480492813141,0.8008213552361396,0.797741273100616,0.7915811088295688,0.7761806981519507,0.811088295687885,0.8008213552361396,0.7874743326488707,0.7987679671457906,0.9825462012320328
FOLD 10,0.7926078028747433,0.7926078028747433,0.7915811088295688,0.7864476386036962,0.7926078028747433,0.7864476386036962,0.7207392197125256,0.7053388090349076,0.675564681724846,0.6806981519507187,0.7484599589322382,0.7761806981519507,0.7751540041067762,0.7720739219712526,0.7792607802874744,0.7802874743326489,0.795687885010267,0.7926078028747433,0.7936344969199178,0.7885010266940452,0.7905544147843943,0.7967145790554415,0.784394250513347,0.7967145790554415,0.7997946611909651,0.9897330595482546
